Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.462518    ,   .113090    ,  -4.08981    ,   .431731E-04,  -.684171    ,  -.240865    
PAY     ,   .141781E-02,   .251447E-03,   5.63861    ,   .171424E-07,   .924987E-03,   .191064E-02
COVERCRO,   .392770E-01,   .793877E-01,   .494750    ,   .620777    ,  -.116320    ,   .194874    
NM      ,  -.631363E-01,   .858280E-01,  -.735615    ,   .461965    ,  -.231356    ,   .105083    
ASC     ,  -.299843    ,   .267507    ,  -1.12088    ,   .262340    ,  -.824147    ,   .224462    
DEMS18  ,   .475908    ,   .845464E-01,   5.62895    ,   .181310E-07,   .310200    ,   .641616    
COSTTAX ,  -.918805E-03,   .369299E-03,  -2.48797    ,   .128474E-01,  -.164262E-02,  -.194993E-03
INCFARM1,   .151482    ,   .204653    ,   .740188    ,   .459186    ,  -.249631    ,   .552594    
INCFARM2,   .240179    ,   .201808    ,   1.19014    ,   .233993    ,  -.155357    ,   .635715    
INCFARM4,   .140792    ,   .205159    ,   .686255    ,   .492552    ,  -.261313    ,   .542897    
INCFARM5,   .239760    ,   .210244    ,   1.14039    ,   .254123    ,  -.172310    ,   .651830    
INCFARM6,   .958578    ,   .317474    ,   3.01939    ,   .253281E-02,   .336341    ,   1.58081    
FARMSI2 ,   .344125    ,   .144566    ,   2.38041    ,   .172935E-01,   .607816E-01,   .627468    
FARMSI3 ,   .147150    ,   .164785    ,   .892984    ,   .371865    ,  -.175822    ,   .470122    
FARMSI4 ,   .199714    ,   .109459    ,   1.82456    ,   .680676E-01,  -.148213E-01,   .414250    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -1.77366    ,   .189819    ,  -9.34396    ,   .000000    ,  -2.14570    ,  -1.40162    
PAY     ,   .810085E-02,   .684578E-03,   11.8333    ,   .000000    ,   .675910E-02,   .944259E-02
COVERCRO,  -.367400    ,   .125893    ,  -2.91836    ,   .351882E-02,  -.614145    ,  -.120655    
NM      ,  -.406822    ,   .119671    ,  -3.39950    ,   .675103E-03,  -.641373    ,  -.172271    
ASC     ,  -1.38492    ,   .345736    ,  -4.00572    ,   .618293E-04,  -2.06255    ,  -.707292    
