"MEAN","CI_L","CI_U"
352.528346332261,295.577371253929,434.332466977599
323.349810825669,233.371790930309,405.286009037538
340.817052018316,295.519464580179,458.658685258556
327.553180559029,262.942193325961,445.096467998212
348.219410391231,264.129376685335,459.288963302282
329.913493617711,281.387096233061,377.773682159132
351.210676564077,286.81111610412,431.527623379147
337.016901182066,274.120781559857,466.119346271181
314.695023030789,275.178705440586,354.221607758718
341.583616758655,299.873018717905,402.412964750365
369.147924087476,324.090339250738,426.967235325307
351.445301084126,284.905729399701,508.27201321978
360.455886042875,262.275400548269,424.535927948753
345.4968951414,282.713330262497,385.935842537809
339.311504480293,307.137094421627,417.855149607913
336.416802355974,303.272472276886,375.960840831373
279.187386485856,244.768286506154,330.354246288463
305.398090771056,240.545198432285,370.600756420769
273.681975970889,225.384671997487,363.601553636795
299.190419541546,240.479898791509,370.679592591445
287.181250970084,237.282392291997,318.812080848378
302.547391256891,231.036019534506,378.234080017053
287.633283056295,241.129176133999,368.988386447879
288.070268904645,248.725810612897,342.313817688525
266.824996657306,242.945970286859,296.743381905671
305.652942270793,220.022302478902,387.239008394707
278.24713551,224.387273021386,345.016493080252
278.683838200993,206.305567481924,345.830533481856
271.53731301372,212.706365455909,342.903454242624
283.852215939923,200.691905532985,389.248471671998
287.603250788545,212.908838861033,361.074370563022
292.598038481253,224.546537490652,341.373873439187
261.422410234477,198.811338336757,347.262937851594
252.427224896104,179.764792513816,354.598497330287
287.850340855693,232.360076310385,351.241971995428
316.261839198543,226.85244670352,371.322942821079
253.942066058247,196.58145007129,316.42468877942
227.015809899415,164.504301538937,301.204533652588
280.156165143456,222.562507164098,329.885382772921
253.028925886934,168.047541624347,352.861698410505
276.046286799874,192.917698478724,371.379135752341
270.145609473022,183.067387832748,394.112247582369
258.82487800199,204.026033390398,332.607236585265
252.792638831376,158.249298514583,332.593516083686
259.568428437638,187.110952447841,332.084114672723
267.840401826839,174.629947785792,327.625779344219
266.613263285882,214.13673920885,319.748668036699
238.092101530584,186.584015522135,291.914514312471
246.317241457722,189.723537074922,337.657519406928
270.726339529096,176.974849922386,415.935005278984
241.999681283813,188.525340618621,278.451584603777
256.519222890913,168.582322592233,347.377636596075
253.398915308885,179.041950535206,337.27641147783
259.602754862387,193.062355871558,341.562323540327
249.908289120845,173.67476755656,340.947009077529
244.821884236638,207.961831404592,303.672007109729
257.808545653048,154.311553729134,307.55407530656
250.034417930849,200.696725828969,313.429011209861
247.620997071888,189.634406590443,308.528856229308
236.109699129228,186.689270910527,303.573513806731
256.042903461334,187.770659218784,321.395517472103
253.393593546021,197.233520191075,301.203090345191
257.588619440337,207.510646168097,311.782200123681
262.656927765502,194.653941334429,323.456342375182
-24.3513981759013,-84.1094765616514,33.9894868116198
32.5034723372041,-61.0151781832213,102.540985157555
-3.27410192021671,-81.0072661491772,89.8142151142943
72.2300919992153,6.23078285493898,181.062023842365
41.9934592377103,-38.7609180408361,110.877554405603
31.1105808721642,-26.4962321402745,70.403087026018
43.4857574000196,-6.69504581685988,124.229583265755
30.7611074668881,-42.3458964784299,75.6134887741179
25.1510846260049,-19.6705714528017,100.988759533881
15.8295094230333,-73.25606995165,63.7308860071462
41.9829271107213,-17.6951076302983,111.873889505097
26.2036506384618,-35.7803267409294,119.989501515223
17.0661418169794,-62.7718985950031,68.4177488427703
28.4559601431947,-88.0121614793303,120.83295037799
5.45339451047123,-89.3907239983855,99.6637326095602
7.49405007388044,-45.0227897600303,47.4842592128698
302.131010375515,233.331801315379,403.40069575488
309.750188550114,263.000138870722,354.77853657205
274.003779365967,228.035903575185,340.906867037673
295.183717725087,248.838537629339,331.396025024816
266.455095345603,214.021828760422,310.263183126337
299.759920119721,273.638156488659,336.171279902379
287.928507578599,238.290901535094,328.40336005864
287.217424371247,232.403013295864,360.529086348734
261.382593018498,216.680808775894,305.078789227589
282.033460821574,234.224577385339,365.777244274699
293.527578661309,216.764413174883,381.985685515975
285.600604153187,250.253385096549,339.98674388272
294.96379310961,236.432637103883,420.90948235614
295.551825390335,214.388210447467,402.841269101173
281.742920065884,234.142318289497,359.794147087647
283.32334250748,220.851002722295,342.504655346377
41.0425694544262,-29.1104731708724,72.8592825499515
41.6565657724037,-15.2989689556871,108.408124742333
36.7976349864827,-51.7608076213276,130.005714688634
2.34537498644886,-86.5207145209896,79.8571343628798
16.7675402510045,-31.637562139845,158.493321590761
5.63171096884029,-75.1854258820559,75.1977531933397
76.0624214295561,-3.26366744472186,150.521498099556
32.2684420228044,-34.3491813498692,104.188584534444
