"WLD","CC","NM","ASC_obs","County"
234.28012411205,49.5296327270321,64.5067070304716,14.5382292986562,"Jackson"
267.106423726279,82.6074904437555,97.3601095490226,47.4937266278485,"Renville"
316.060863923789,130.914646531644,146.429837827725,96.4046469023495,"Hennepin"
235.55585671149,51.0423225799369,65.8309788594875,15.9662976391553,"Watonwan"
249.305761359962,64.5414902373287,79.6311052686878,29.5437058718472,"Yellow Medicine"
236.261135183925,51.5905059899522,66.513679628524,16.541979992194,"Brown"
239.444267932256,54.7689578328427,69.7517379234234,19.7626397395414,"Blue Earth"
207.767070888035,23.0041387739982,38.066535364819,-11.9774207808217,"Cottonwood"
267.863906868579,83.0372866582499,98.1787206570203,48.0728964280117,"Todd"
254.74384393594,70.0157165616929,85.0350607486841,35.1184776956437,"Le Sueur"
253.15591485551,68.3469179093738,83.4199176801588,33.3680527151804,"Douglas"
233.771340349721,49.1783266509963,64.0213233091738,14.082715633204,"Swift"
224.377462380667,39.6190928866785,54.6300785615343,4.67730747477566,"Redwood"
255.001061797769,70.1870038792763,85.2698446555519,35.2354356070623,"Otter Tail"
236.826278750894,52.1458622088407,67.1179753353672,17.2225038996155,"Grant"
233.485305415626,48.7591728846622,63.738888129826,13.769783796452,"Faribault"
222.40951285775,37.9112515737095,52.6630661754502,2.74669818742533,"Stevens"
228.353131440525,43.6891410137819,58.65487606511,8.76346475022452,"Murray"
250.552574579852,65.8820425310115,80.8538157322666,30.8787354365803,"Waseca"
229.14529001663,44.4858543189823,59.3940969123553,9.43727977427587,"Lyon"
262.753997730269,78.0192982766142,93.0344155862094,43.1081944882364,"Sibley"
228.553031671234,43.9010444586319,58.7982157891042,8.85898100552856,"Freeborn"
239.959435924112,55.2938457213021,70.2707164954544,20.3193860699023,"Lincoln"
230.169957999289,45.4290249612272,60.4646306883333,10.4586101755917,"Kandiyohi"
308.581877514992,123.820926706094,138.90530739382,89.1430144968929,"Carver"
215.750474260293,31.107945517059,46.1008438873351,-3.95004151806474,"Lac Qui Parle"
234.692263691142,50.2330625041295,64.9866656679143,15.089442615256,"Traverse"
329.300173628061,144.531395498508,159.631460391287,109.828152886352,"Dakota"
279.373979795971,94.6468152257568,109.688190291664,59.7600789384035,"Rice"
246.465428061801,61.7471318702455,76.7453265523041,26.837556836438,"McLeod"
247.803360697183,63.0642288751027,78.0735170270478,28.0420282281425,"Nicollet"
245.349951924849,60.7537016969428,75.5825686646833,25.6662454357949,"Chippewa"
249.234913308545,64.6494897697938,79.5054364832263,29.588459862708,"Martin"
274.519764107159,89.8267789841984,104.808183580568,54.9276390975892,"Goodhue"
243.813922529509,59.1125989138793,74.0768319355102,24.0679644698035,"Pope"
288.600768020049,103.900787100274,118.897762500846,68.9391830769124,"Meeker"
267.80048052223,83.1541197385756,98.0847551578349,48.1470864177151,"Pipestone"
232.454520459763,47.7739861497266,62.6951104309124,12.7487762700958,"Nobles"
266.058272896357,81.3943122617606,96.415927346268,46.441273219744,"Wabasha"
241.969324962016,57.3083103939801,72.2565233438306,22.3261042114836,"Steele"
231.974827577876,47.2691007782476,62.2477274355004,12.284862014941,"Big Stone"
348.22951883177,163.218508660827,178.623275566804,128.494816098294,"Washington"
320.715161166979,135.759403026761,151.02902002607,101.109075080215,"Anoka"
318.818684298021,134.041220609239,149.08499665825,99.3652712064935,"Sherburne"
284.72616987931,99.7950378209878,115.018080942023,65.1196104696596,"Scott"
247.663270615669,62.9557548292349,77.9369714813109,27.9208209390304,"Stearns"
