Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.473719    ,   .114712    ,  -4.12962    ,   .363368E-04,  -.698551    ,  -.248886    
PAY     ,   .145989E-02,   .255137E-03,   5.72200    ,   .105280E-07,   .959832E-03,   .195995E-02
COVERCRO,   .412161E-01,   .805048E-01,   .511970    ,   .608672    ,  -.116570    ,   .199003    
NM      ,  -.634016E-01,   .870330E-01,  -.728478    ,   .466321    ,  -.233983    ,   .107180    
ASC     ,  -.630406    ,   .279329    ,  -2.25686    ,   .240169E-01,  -1.17788    ,  -.829313E-01
DEMS18  ,   .474924    ,   .860199E-01,   5.52110    ,   .336887E-07,   .306328    ,   .643520    
COSTTAX ,  -.863963E-03,   .381891E-03,  -2.26233    ,   .236771E-01,  -.161245E-02,  -.115470E-03
INCFARM1,   .336020    ,   .208873    ,   1.60873    ,   .107675    ,  -.733632E-01,   .745403    
INCFARM2,   .536508    ,   .210173    ,   2.55269    ,   .106893E-01,   .124576    ,   .948440    
INCFARM4,   .375164    ,   .209964    ,   1.78680    ,   .739695E-01,  -.363578E-01,   .786685    
INCFARM5,   .421031    ,   .215631    ,   1.95255    ,   .508729E-01,  -.159866E-02,   .843661    
INCFARM6,   1.54688    ,   .338191    ,   4.57397    ,   .478569E-05,   .884034    ,   2.20972    
FARMSI2 ,   .338760    ,   .147498    ,   2.29670    ,   .216356E-01,   .496687E-01,   .627852    
FARMSI3 ,   .305400E-01,   .167852    ,   .181946    ,   .855625    ,  -.298444    ,   .359524    
FARMSI4 ,   .253992    ,   .112385    ,   2.26002    ,   .238199E-01,   .337219E-01,   .474262    
FSCAWARE,   .157183    ,   .138748    ,   1.13286    ,   .257272    ,  -.114759    ,   .429124    
FSCPAST ,   .361639    ,   .134106    ,   2.69667    ,   .700373E-02,   .987963E-01,   .624482    
FSCAPP  ,   1.45983    ,   .238315    ,   6.12565    ,   .000000    ,   .992745    ,   1.92692    
FSCRESP ,   .649805    ,   .295465    ,   2.19927    ,   .278589E-01,   .707055E-01,   1.22891    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
