Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.473753    ,   .114714    ,  -4.12988    ,   .362951E-04,  -.698588    ,  -.248919    
COVERCRO,   .412345E-01,   .805054E-01,   .512195    ,   .608515    ,  -.116553    ,   .199022    
PAY     ,   .145998E-02,   .255139E-03,   5.72230    ,   .105089E-07,   .959920E-03,   .196005E-02
NM      ,  -.634289E-01,   .870337E-01,  -.728785    ,   .466133    ,  -.234012    ,   .107154    
ASC     ,  -.625424    ,   .280361    ,  -2.23078    ,   .256955E-01,  -1.17492    ,  -.759270E-01
DEMS18  ,   .475622    ,   .860851E-01,   5.52502    ,   .329449E-07,   .306898    ,   .644346    
COSTTAX ,  -.871288E-03,   .383552E-03,  -2.27163    ,   .231089E-01,  -.162304E-02,  -.119540E-03
INCFARM1,   1.54495    ,   .338328    ,   4.56642    ,   .496125E-05,   .881838    ,   2.20806    
INCFARM2,   .517195    ,   .229248    ,   2.25605    ,   .240677E-01,   .678766E-01,   .966513    
INCFARM3,   .546575    ,   .215556    ,   2.53565    ,   .112239E-01,   .124092    ,   .969057    
INCFARM4,   .374527    ,   .210002    ,   1.78344    ,   .745148E-01,  -.370706E-01,   .786124    
INCFARM5,   .420920    ,   .215649    ,   1.95187    ,   .509533E-01,  -.174483E-02,   .843584    
INCFARM6,   .335813    ,   .208892    ,   1.60759    ,   .107924    ,  -.736073E-01,   .745234    
FARMSI2 ,   .341720    ,   .148173    ,   2.30622    ,   .210981E-01,   .513063E-01,   .632133    
FARMSI3 ,   .287620E-01,   .168081    ,   .171120    ,   .864129    ,  -.300671    ,   .358195    
FARMSI4 ,   .251366    ,   .113069    ,   2.22312    ,   .262078E-01,   .297547E-01,   .472977    
FSCAWARE,   .155949    ,   .138871    ,   1.12298    ,   .261447    ,  -.116233    ,   .428131    
FSCPAST ,   .359435    ,   .134500    ,   2.67238    ,   .753154E-02,   .958198E-01,   .623050    
FSCAPP  ,   1.46161    ,   .238495    ,   6.12849    ,   .000000    ,   .994171    ,   1.92905    
FSCRESP ,   .654092    ,   .296165    ,   2.20854    ,   .272067E-01,   .736194E-01,   1.23456    
                                                                                
Last Model Estimation Results                                                   
