Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.461782    ,   .113023    ,  -4.08573    ,   .439392E-04,  -.683304    ,  -.240261    
PAY     ,   .141517E-02,   .251289E-03,   5.63163    ,   .178516E-07,   .922650E-03,   .190769E-02
COVERCRO,   .395092E-01,   .793414E-01,   .497965    ,   .618509    ,  -.115997    ,   .195015    
NM      ,  -.625763E-01,   .857782E-01,  -.729513    ,   .465688    ,  -.230698    ,   .105546    
ASC     ,  -2.51223    ,   .506500    ,  -4.95998    ,   .705003E-06,  -3.50495    ,  -1.51951    
DFL     ,   2.70727    ,   .719346    ,   3.76352    ,   .167538E-03,   1.29738    ,   4.11716    
COSTTAX ,  -.481232E-03,   .370059E-03,  -1.30042    ,   .193457    ,  -.120653E-02,   .244070E-03
INCFARM1,   .186176    ,   .204105    ,   .912154    ,   .361688    ,  -.213864    ,   .586215    
INCFARM2,   .394897    ,   .221833    ,   1.78016    ,   .750503E-01,  -.398871E-01,   .829681    
INCFARM3,   .273464    ,   .205416    ,   1.33127    ,   .183101    ,  -.129144    ,   .676072    
INCFARM4,   .954973    ,   .316587    ,   3.01646    ,   .255741E-02,   .334474    ,   1.57547    
INCFARM5,   .314517    ,   .209673    ,   1.50004    ,   .133604    ,  -.964338E-01,   .725468    
INCFARM6,   .295595    ,   .207893    ,   1.42186    ,   .155067    ,  -.111868    ,   .703057    
FARMSI1 ,   .962852    ,   .273555    ,   3.51978    ,   .431902E-03,   .426695    ,   1.49901    
FARMSI2 ,   1.07946    ,   .267646    ,   4.03316    ,   .550315E-04,   .554883    ,   1.60404    
FARMSI3 ,   .978129    ,   .288649    ,   3.38865    ,   .702378E-03,   .412388    ,   1.54387    
FARMSI4 ,   .974221    ,   .256329    ,   3.80067    ,   .144305E-03,   .471826    ,   1.47662    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -1.82210    ,   .198824    ,  -9.16437    ,   .000000    ,  -2.21179    ,  -1.43241    
