County,dfl08,dfl10,dfl12,dfl14,dfl16,dfl18,dfl08to18,dflmean
Aitkin,0.5084461483167605,0.4657573998839234,0.5619011406844107,0.5181268882175226,0.41297584705017254,0.44475546975546976,0.5199493752170034,0.48532714898470997
Anoka,0.46962964320289763,0.4458279363222329,0.5497158425507277,0.462778310191892,0.4299618857967262,0.5079011150419591,0.5118665243301581,0.47763578885107255
Becker,0.44216062727888744,0.5945237664919574,0.557087332775022,0.5138138138138139,0.4235186873290793,0.41109467191928556,0.4996650395169891,0.49036648326800764
Beltrami,0.5343607637879229,0.5761624799572421,0.616737756967384,0.5620356986789472,0.49306862065551044,0.5189392271679948,0.5729153947966066,0.5502174245358336
Benton,0.44263703703703705,0.43588706415338563,0.5316844227920838,0.4668685645063598,0.31970279952235636,0.409099151075579,0.46464622040521764,0.4343131731811336
Big Stone,0.5234302648638637,0.6392156862745098,0.6185398896136478,0.5704242424242424,0.46795484981825136,0.4710353327855382,0.5683760683760684,0.5484333776300089
Blue Earth,0.5431004016064257,0.5936183307295365,0.6223661038019269,0.582105991137522,0.5191961655440374,0.5782363335803454,0.5971525833927638,0.5731038877332991
Brown,0.42631819884306466,0.4758139057204478,0.5247517359814828,0.4771130625686059,0.35110837911560183,0.42366369834114276,0.4730610711768126,0.44646149676172425
Carlton,0.6243540243540243,0.5611357044725996,0.6707586361765037,0.604458190321729,0.5409977807879643,0.5565636972796204,0.6314328666729305,0.5930446722320736
Carver,0.3866933689363596,0.29149332165535363,0.4475029699201239,0.35746320953048355,0.3765683185333715,0.46624092263886185,0.42814513816720706,0.38766035186909237
Cass,0.44610118946762006,0.41601268993154117,0.5008690740016513,0.4409030544488712,0.36688979591836735,0.40212224426395177,0.45683977786476593,0.42881634133866714
Chippewa,0.522973578145992,0.5980586807853518,0.6417142534064567,0.5893602989668059,0.47016625875601314,0.45172116214402147,0.5758889075536144,0.5456657053674402
Chisago,0.43348091924942017,0.4076445113914517,0.5051939716649234,0.45737598756637743,0.3938146136323813,0.41751803811129157,0.46796572409941695,0.43583800693597424
Clay,0.5346370690136389,0.682133155939908,0.6532226322263223,0.6244336105534843,0.5695459599365693,0.578089441074948,0.6218112918891444,0.6070103114574785
Clearwater,0.44112790549980946,0.5758941989780583,0.5326750899506317,0.46730632551528073,0.36202469739576965,0.3456965527555522,0.46022371289899505,0.45412079501585034
Cook,0.5979296746631614,0.5795158286778399,0.6535243672871784,0.6301469254489389,0.6387328339575531,0.6695937628231432,0.6592344041615376,0.6282405654763025
Cottonwood,0.45206619210501986,0.4952557278407776,0.5348361887586415,0.4943550324285371,0.380073126142596,0.4152493888802205,0.4876249177188678,0.4619726093592988
Crow Wing,0.4544510525818937,0.41329151146833953,0.5053334532985434,0.43814852098497753,0.37106175861968466,0.40310655847639487,0.4607908932425214,0.43089880923830554
Dakota,0.4939030798673318,0.41463661622394793,0.5440766484495213,0.47020053962391095,0.5176919462364539,0.5665176565558102,0.5400506600175913,0.501171081159496
Dodge,0.43387150281986064,0.4229414951245937,0.5298236165342669,0.49203767703462764,0.3841320500673216,0.41995272685345325,0.4788673633494607,0.44712651140568727
Douglas,0.4304568527918782,0.53921143847487,0.5386560145623704,0.4553464156988386,0.3913873978432226,0.3964597443308457,0.47751278704246364,0.4585863106170042
Faribault,0.4602548123528597,0.5056497175141242,0.5511631034019093,0.4842755344418052,0.35660176991150444,0.42041120875476706,0.4902123866153238,0.46305935772949497
Fillmore,0.5193443591258121,0.5509859885832901,0.6108265573980408,0.575815858046904,0.4511563850501021,0.4794038893246423,0.5571702924786701,0.5312555062547987
Freeborn,0.5619735648568096,0.5900900900900901,0.642226368159204,0.5822664574213265,0.47008797653958945,0.5012870500056782,0.5851084010268905,0.5579885845121163
Goodhue,0.4749084690767983,0.36298414348843255,0.5221259247259571,0.4340620700198746,0.41688881245162956,0.47981322248163544,0.49254299182860195,0.44846377370738794
Grant,0.5147332506203474,0.655012486621477,0.6162357911678905,0.5583856502242153,0.4769861765152666,0.4555900360647488,0.5637080255123339,0.5461572318689909
Hennepin,0.6155575967326586,0.5454342095856577,0.6555131888329153,0.5997200606343606,0.6444173760163623,0.7052968193937214,0.6660039540176939,0.627656541865946
Houston,0.5180782321314064,0.4907992695603315,0.551422467871554,0.5255037573984173,0.47726480402410476,0.4893554630226966,0.5275728989421037,0.5087373323347517
Hubbard,0.4195236972412167,0.4130746334472495,0.487683540868936,0.45384522806595257,0.3710051370641451,0.402904092600248,0.4521127432846863,0.42467272154795793
Isanti,0.4147872131790547,0.3938953488372093,0.48238534016904533,0.44171895078993123,0.35361552028218696,0.37796248284276346,0.44095053523342076,0.41072747601669857
Itasca,0.5609296482412061,0.5100284992203044,0.6003180339718106,0.5606475647838711,0.4623365204967579,0.5019230769230769,0.5649055613478875,0.5326972239395045
Jackson,0.4716308545400535,0.48999499749874936,0.5295582226762002,0.4744788882950294,0.34875106847753823,0.41449898213073966,0.47950727596012505,0.45481883560305175
Kanabec,0.44978925536897035,0.42186983812355466,0.5258258258258258,0.4919589392643285,0.3717659203819601,0.41310239189348413,0.48027624047242123,0.4457186951430206
Kandiyohi,0.4567599566717888,0.49618414574101427,0.5606149723883279,0.5276243093922652,0.43985837617615675,0.4368992335596426,0.5154667033360623,0.4863234989881993
Kittson,0.5596465390279823,0.7818563188253802,0.6773869346733669,0.658144438587243,0.527336860670194,0.5130140845070422,0.6256923645017027,0.6195641960485347
