Physiognomy,Macrogroup,Location,# Reference,Location,Year_published,Year_CPI,Duration,Area (acres),TotalCost_2018,Cost_acre_year_2018
Salt Mash,Coastal Salt Marsh,Others,21,Others,1999,1998,1,300.23,10321576,34379.3
Salt Mash,Coastal Salt Marsh,Others,21,Others,1999,1996,1,21.5,1280342,59550.3
Salt Mash,Coastal Salt Marsh,Others,21,Others,1999,1999,1,85,4220286,49651.91
Salt Mash,Coastal Salt Marsh,Others,21,Others,1999,1999,1,5,271304,54273.48
Salt Mash,Coastal Salt Marsh,Others,21,Others,1999,1999,1,13,391884,30145.06
Salt Mash,Coastal Salt Marsh,Others,21,Others,1999,1997,1,7,938718,134095.97
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,27.92,800933,28684.36
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,12.6,464822,36884.46
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,4.69,120221,25606.78
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,2.72,87755,32285.57
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,7.41,221035,29817.18
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,11.37,339586,29875.74
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,24.46,378909,15489.12
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,9.14,569308,62269.12
Salt Mash,Coastal Salt Marsh,Southwest,22,Southwest,2012,2007,1,14.08,587283,41696.5
Aquatic,Freshwater Aquatic Vegetation,Others,23,Others,1998-2000,2000,2,35,201965,2885.27
Salt Mash,Coastal Salt Marsh,Others,24,Others,2012,2003,6,0.8,347860,72416.08
Alkaline,Warm & Cool Desert Alkali-Saline Marsh,Southwest,25,Southwest,2009,2003,10,1699.55,750592,44.16
Aquatic,Freshwater Aquatic Vegetation,Others,26,Others,2008,2008,10,43.76,16911290,38644.3
Forested,Montane Riparian & Swamp Forest,Others,27,Others,2017,2016,2,47,369269,3928.49
Salt Mash,Coastal Salt Marsh,West,28,West,2005,2001,1,4.45,105207,23653.69
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,600.01,1718506,2864.14
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,3500,4643639,1326.75
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,2,11457,5724.03
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,1199.99,332245,276.87
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,43,162685,3783.78
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,180.01,257776,1431.99
Marsh,Montane-Subalpine-Boreal Marsh,West,29,West,2010,2010,1,19.99,68740,3438.66
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,70,318497,4549.73
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,83.99,127742,1520.94
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,300,205648,685.48
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,2.99,38953,13028.09
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,100,240591,2405.91
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,500,1719079,3438.16
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,50,229134,4582.68
Bog/Fen,Boreal & Sub-boreal Bog & Acidic Fen,West,29,West,2010,2010,1,4.99,31506,6312.02
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,349.99,572835,1636.71
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,500.01,790513,1581
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,164.99,3036028,18401.43
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,400.01,273347,683.36
Marsh,Arid West Interior Freshwater Marsh,West,29,West,2010,2010,1,19.99,69886,3495.98
Salt Mash,Coastal Salt Marsh,Others,30,Others,2016,2013,4,29.65,1509076,12723.22
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,2902,1136755.51
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,2385,994954.12
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,2242,878180.23
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,2055,857271.17
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,2529,990392.14
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,2198,917020.38
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,1868,731816.86
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,1868,779337.43
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,1034,404938.66
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,517,215616.69
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,374,146363.37
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,187,77933.74
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,660,258575.29
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2006,2.1,0,330,137682.95
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2010,1,2.47,14079,4194.31
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2010,1,2.47,71961,21437.59
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2010,1,2.47,939,279.62
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2010,1,2.47,125149,37282.76
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,1997,1,34.59,2190341,63315.65
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,1997,1,109.96,10951707,99597.41
Salt Mash,Coastal Salt Marsh,Others,31,Others,2013,2003,1,61.78,930529,15063.19
Salt Mash,Coastal Salt Marsh,Others,32,Others,1999,2010,1,2.47,14083,4195.39
Salt Mash,Coastal Salt Marsh,Others,32,Others,1999,2010,1,2.47,71979,21443.09
Salt Mash,Coastal Salt Marsh,Others,32,Others,1999,2010,1,2.47,939,279.69
Salt Mash,Coastal Salt Marsh,Others,32,Others,1999,2010,1,2.47,125181,37292.33
Salt Mash,Coastal Salt Marsh,Others,32,Others,1999,1997,1,34.59,2190341,63315.65
Salt Mash,Coastal Salt Marsh,Others,32,Others,1999,1997,1,109.96,10951707,99597.41
Salt Mash,Coastal Salt Marsh,Others,33,Others,2012,2003,1,61.78,930529,15063.19
Aquatic,Freshwater Aquatic Vegetation,Others,34,Others,2016,2010,6,249.99,3454713,2303.2
Aquatic,Freshwater Aquatic Vegetation,Others,35,Others,"2002, 2012",2012,20,25698.4,632158706,1229.96
