,original,weight,Subbasin
167,17223.0,1.0,98
168,24.9396,0.002167686428542522,99
169,2790.21,0.2425179373279295,99
170,8690.02,0.7553143762435279,99
171,2497.51,0.12100274659388928,100
172,18142.6,0.8789972534061107,100
173,180.185,0.00777143019805642,101
174,1292.58,0.05574934231708393,101
175,21712.8,0.9364792274848597,101
176,1869.47,0.133872364132945,102
177,12095.1,0.866127635867055,102
178,7281.91,0.4474107671143492,103
179,8993.76,0.5525892328856508,103
180,142.08100000000005,0.012555036144075805,104
181,536.873,0.04744096620785614,104
182,10637.7,0.9400039976480681,104
183,325.926,0.012702642429926487,105
184,25332.2,0.9872973575700735,105
185,6056.11,0.2234981774674677,106
186,21040.8,0.7765018225325323,106
187,3686.79,0.16532030784421609,107
188,18614.1,0.8346796921557839,107
189,6255.67,0.2507449393426577,108
190,8334.27,0.3340611038650267,108
191,10358.4,0.41519395679231563,108
192,948.213,0.07356491611410335,109
193,1078.26,0.0836543123213804,109
194,10863.0,0.8427807715645163,109
195,4897.82,0.29677965875750306,110
196,11605.4,0.7032203412424969,110
197,27890.3,1.0,111
198,11457.1,1.0,112
199,421.562,0.023791829366053133,113
200,1816.41,0.1025133118705969,113
201,15480.8,0.8736948587633498,113
202,7074.76,0.1822440138216488,114
203,12851.1,0.3310410594880096,114
204,18894.4,0.4867149266903416,114
205,27636.6,1.0,115
206,31883.8,1.0,116
207,10514.3,1.0,117
208,15402.4,0.4353272359332075,118
209,19978.8,0.5646727640667926,118
210,15561.2,1.0,119
211,26810.3,1.0,120
212,20477.6,1.0,121
213,286.341,0.011388569811979481,122
214,24856.5,0.9886114301880206,122
215,10917.1,1.0,123
216,34491.1,1.0,124
217,3.71825,0.0001479604974023447,125
218,25126.3,0.9998520395025976,125
219,27868.9,1.0,126
220,22105.8,1.0,127
221,4351.99,0.29815931417719277,128
222,10244.2,0.7018406858228072,128
223,4770.11,0.18238541623253948,129
224,9450.6,0.36134420687305696,129
225,11933.3,0.4562703768944036,129
226,23.016,0.0006641121700921227,130
227,5274.68,0.15219756609930127,130
228,29359.1,0.8471383217306065,130
229,816.826,0.030384214162312906,131
230,6410.81,0.23846868732618354,131
231,19655.6,0.7311470985115036,131
232,21569.6,1.0,132
233,14750.9,1.0,133
234,3955.28,0.1889588934815469,134
235,8193.75,0.3914468592525497,134
236,8782.93,0.41959424726590344,134
237,15797.5,1.0,135
238,29251.4,1.0,136
239,66.1741,0.0024200526870280822,137
240,27277.9,0.997579947312972,137
241,1142.95,0.06849323277631457,138
242,15544.1,0.9315067672236855,138
243,8103.91,0.36000081738506967,139
244,14406.9,0.6399991826149304,139
245,195.793,0.0052303530643925695,140
246,6963.9,0.18603145007800795,140
247,30274.3,0.8087381968575994,140
248,890.7080000000002,0.06405046098371767,141
249,2036.14,0.14641802434399026,141
250,10979.5,0.7895315146722921,141
251,23748.2,1.0,142
252,17938.1,1.0,143
253,3924.12,0.26145078093040053,144
254,11084.9,0.7385492190695995,144
255,4949.51,0.21754548359434783,145
256,17802.1,0.7824545164056521,145
257,11272.9,1.0,146
258,357.241,0.03521593059985109,147
259,9787.06,0.9647840694001489,147
260,26513.9,1.0,148
261,908.928,0.055099809481409696,149
262,15587.1,0.9449001905185902,149
263,18298.2,1.0,150
264,18760.2,1.0,151
265,12766.9,0.43301259331363895,152
266,16717.0,0.566987406686361,152
267,1676.65,0.06512134635514272,153
268,24069.9,0.9348786536448572,153
269,1111.92,0.07930435377992315,154
270,12909.0,0.9206956462200768,154
271,1.07119,5.223387938413394e-05,155
272,20506.5,0.999947766120616,155
273,21375.2,1.0,156
274,27520.5,1.0,157
275,17525.8,1.0,158
276,8697.82,0.3680118402580621,159
277,14936.8,0.6319881597419379,159
278,15415.9,0.44023919742068873,160
279,19601.2,0.5597608025793113,160
280,23686.3,1.0,161
281,20225.6,1.0,162
282,213.738,0.006657231710646731,163
283,11643.1,0.3626440526730434,163
