Names	Betas
wetland 	-1.6438
pay     	0.00704791
cc	-0.259373
nm      	-0.340591
asc     	-1.13677
dems18  	0.824632
costtax 	-0.00164665
incfarm1	0.927258
incfarm23	0.697058
incfarm4	0.598741
incfarm5	0.63564
incfarm6	2.92894
farmsi2 	0.421231
farmsi3 	0.191994
farmsi4	0.399624
fscaware	0.344336
fscpast 	0.861906
fscapp  	0.681002
fscontrl	-1.96194
clake	0.070014
