Index,3statesMRB,3statesM_1,3statesM_2,WLD,CC,NM,ASC_obs,Subbasin,Area_acre,inter_acre,Unnamed: 0,original,weight,WLD_w,CC_w,NM_w,ASC_w
0,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,1,16605,818.534,0,818.534,0.04929462532040175,12.711764593144698,3.6204082689631925,4.3429330536606034,1.8803193477052216
1,1226,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,1,16605,15786.4,1,15786.4,0.950705374679598,282.3765669554074,106.96257986914489,120.96600685451682,73.56079296156575
2,1226,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,2,22660,1178.77,2,1178.77,0.0556454837404649,16.52770783009503,6.2605983488339785,7.080229213851348,4.305567232180658
3,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,2,22660,20004.8,3,20004.8,0.9443545162595351,243.52375588898,69.35743759642176,83.19909962556906,36.021940657305265
4,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,3,17993,17993.0,4,17993.0,1.0,257.8732369,73.44428009,88.10155317,38.14451039
5,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,4,22965,7764.48,5,7764.48,0.3381038268165425,87.18792822945883,24.831792156215002,29.787472275258093,12.896804934902367
6,1226,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,4,22965,15200.3,6,15200.3,0.6618961731834575,196.5950483107934,74.4690460102605,84.21845416543725,51.21419175105654
7,1226,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,5,21318,376.37,7,376.37,0.017654975333132882,5.243844683146555,1.986337470527539,2.246386655680604,1.3660530589298754
8,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,5,21318,20941.7,8,20941.7,0.9823450246668672,253.32049126345538,72.14762313665136,86.54612242197297,37.471069999970126
9,1226,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,6,18128,1143.15,9,1143.15,0.06306147273073305,18.73038972021978,7.094961271151093,8.023826040925275,4.8793791041312256
10,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,6,18128,16984.4,10,16984.4,0.9369385272692669,241.61137080324477,68.81277562387615,82.5457394772348,35.73906138821385
11,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,7,16329,16328.7,11,16328.7,1.0,257.8732369,73.44428009,88.10155317,38.14451039
12,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,8,17186,17186.1,12,17186.1,1.0,257.8732369,73.44428009,88.10155317,38.14451039
13,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,9,16168,16167.7,13,16167.7,1.0,257.8732369,73.44428009,88.10155317,38.14451039
14,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,10,11617,11617.1,14,11617.1,1.0,257.8732369,73.44428009,88.10155317,38.14451039
15,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,11,15581,15581.1,15,15581.1,1.0,257.8732369,73.44428009,88.10155317,38.14451039
16,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,12,14362,14362.4,16,14362.4,1.0,257.8732369,73.44428009,88.10155317,38.14451039
17,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,13,13238,13237.7,17,13237.7,1.0,257.8732369,73.44428009,88.10155317,38.14451039
18,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,14,15011,15011.1,18,15011.1,1.0,257.8732369,73.44428009,88.10155317,38.14451039
19,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,15,9466,9465.61,19,9465.61,1.0,257.8732369,73.44428009,88.10155317,38.14451039
20,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,16,12176,12175.6,20,12175.6,1.0,257.8732369,73.44428009,88.10155317,38.14451039
21,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,17,22005,22004.5,21,22004.5,1.0,257.8732369,73.44428009,88.10155317,38.14451039
22,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,18,14153,593.409,22,593.409,0.041929004546055464,9.726473601010833,1.981946341492574,2.6099852468133813,0.515092035064954
23,1092,Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,18,14153,1125.6,23,1125.6,0.07953247678589306,18.665657014548945,3.9951598771655656,5.168550478791868,1.2001007448872154
24,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,18,14153,12433.7,24,12433.7,0.8785385186680514,226.55157155026149,64.52362903491007,77.40060801432638,33.5114216533487
25,1092,Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,19,21201,10201.2,25,10201.2,0.4811727914644328,112.92753165963578,24.17078290693232,31.269815328399723,7.260629227107785
26,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,19,21201,10999.5,26,10999.5,0.5188272085355672,120.35485225422744,24.524495607673803,32.295814665378025,6.373720663892937
27,1092,Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,20,33136,11535.4,27,11535.4,0.348124988682935,81.70224164453491,17.48738431432167,22.623482250910428,5.253012041319297
28,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,20,33136,21600.4,28,21600.4,0.6518750113170649,151.2185933670242,30.813545605909983,40.57773802941157,8.00819456179733
29,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,21,17865,17865.0,29,17865.0,1.0,231.9748276,47.26910078,62.24772744,12.28486201
30,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,22,9545,0.358599,30,0.358599,3.7570017311546396e-05,0.008715298288774992,0.0017759009346058313,0.0023386481975252215,0.0004615424783856586
31,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,22,9545,9544.46,31,9544.46,0.9999624299826886,257.8635485980255,73.4415207871256,88.09824319312224,38.143077300084315
32,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,23,7129,7128.53,32,7128.53,1.0,257.8732369,73.44428009,88.10155317,38.14451039
33,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,24,17073,17073.3,33,17073.3,1.0,231.9748276,47.26910078,62.24772744,12.28486201
34,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,25,11670,11670.2,34,11670.2,1.0,231.9748276,47.26910078,62.24772744,12.28486201
35,1092,Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,26,72498,2841.65,35,2841.65,0.03919608608807571,9.199018172190566,1.9689394422176878,2.547222942178314,0.5914470919545987
36,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,26,72498,4462.86,36,4462.86,0.06155812459628369,14.578581578044618,3.210001483103821,4.131656688630016,1.0601850409361817
37,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,26,72498,25548.7,37,25548.7,0.35240407672951274,90.87557996299542,25.882063716180188,31.047346503309928,13.442280966287257
38,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,26,72498,39645.1,38,39645.1,0.5468417125861279,126.85351200165577,25.848716022941474,34.039653877884106,6.717874980432661
39,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,27,16852,16851.6,39,16851.6,1.0,257.8732369,73.44428009,88.10155317,38.14451039
40,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,28,26372,26371.9,40,26371.9,1.0,257.8732369,73.44428009,88.10155317,38.14451039
41,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,29,19278,19278.0,41,19278.0,1.0,257.8732369,73.44428009,88.10155317,38.14451039
42,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,30,23647,387.019,42,387.019,0.01636650268687144,3.8760179283019647,0.8534453939691928,1.098486523739481,0.28187215635400387
