Subbasin,WLD_w,CC_w,NM_w,ASC_w
18,233.75380030324317,49.20946176708548,64.04077653765465,14.12088396806375
19,233.27581229340154,48.6881107171787,63.559006374361076,13.627567527535728
20,232.9140608056424,48.29354115881037,63.194392472461814,13.254215157554354
21,231.9748276,47.26910078,62.24772744,12.28486201
22,231.9748276,47.26910078,62.24772744,12.28486201
24,231.9748276,47.26910078,62.24772744,12.28486201
25,231.9748276,47.26910078,62.24772744,12.28486201
26,232.15639035656335,47.467134897612354,62.43072683972665,12.472247239244474
40,225.48508628000002,40.804638676,55.78897402,5.7909005987999995
41,231.09119065764872,46.40462935148454,61.36230327624934,11.40373324628023
42,231.9748276,47.26910078,62.24772744,12.28486201
43,231.9748276,47.26910078,62.24772744,12.28486201
44,231.9748276,47.26910078,62.24772744,12.28486201
51,215.75047430000004,31.10794552,46.10084389,-3.950041518
55,215.75047430000004,31.10794552,46.10084389,-3.950041518
56,215.75047430000004,31.10794552,46.10084389,-3.950041518
57,215.75047430000004,31.10794552,46.10084389,-3.950041518
58,215.75047430000004,31.10794552,46.10084389,-3.950041518
59,215.75047430000004,31.10794552,46.10084389,-3.950041518
60,215.75047430000004,31.10794552,46.10084389,-3.950041518
61,223.1527381470052,38.481375640443446,53.4677626283862,3.4570358072288316
62,215.75047430000004,31.10794552,46.10084389,-3.950041518
63,232.008080906356,47.30444039811564,62.28055655766603,12.31814013667791
64,233.55034330164614,48.94346430449612,63.80314541258642,13.861553679127287
65,226.18356341534545,41.50635373860701,56.483402279805425,6.489840529850227
66,215.75047430000004,31.10794552,46.10084389,-3.950041518
67,240.352778865766,55.75792551721443,70.59289066568996,20.666949772479946
68,235.79106570999699,51.18355005727334,66.05676138582146,16.10221658741944
69,255.00106180000003,70.18700388,85.26984466,35.23543561
70,255.00106180000003,70.18700388,85.26984466,35.23543561
71,255.00106180000003,70.18700388,85.26984466,35.23543561
72,250.13418665691412,65.3559154457329,80.4091053821747,30.411901288104506
73,253.6897359755801,68.88183393867034,83.95725953137537,33.919940229581364
74,240.5224432907043,55.812943381797666,70.80788851573107,20.877094452350693
75,255.00106180000003,70.18700388,85.26984466,35.23543561
76,249.7165433202918,64.94134308998402,79.99198858530636,29.997977176784197
77,236.83950165751344,52.15898095004886,67.13117577260205,17.2355776935748
78,236.8262788,52.14586221,67.11797534,17.2225039
79,230.9938745602057,46.387150164286815,61.27013997557715,11.366214687802989
80,222.4095129,37.91125157,52.66306618,2.746698187
81,222.63840340069493,38.13517758375722,52.8924196287467,2.97493898844028
82,222.4095129,37.91125157,52.66306618,2.746698187
83,222.4095129,37.91125157,52.66306618,2.746698187
84,222.4095129,37.91125157,52.66306618,2.746698187
85,222.784861623474,38.28270252486921,53.03843130891169,3.1211616644960496
86,230.17243550294796,45.534454807999325,60.43667425996616,10.488802577267725
87,224.59100170112546,40.07454777607155,54.84386948364801,4.9232314356275415
88,228.50816118165477,43.959039980860524,58.75979806033712,8.831492548473989
89,222.4095129,37.91125157,52.66306618,2.746698187
90,230.11492925917622,45.55240836503269,60.366061237047944,10.43461063083796
91,233.7713403,49.17832665,64.02132331,14.08271563
92,233.7713403,49.17832665,64.02132331,14.08271563
93,239.95943590000002,55.29384572,70.2707165,20.31938607
94,240.13061995468308,55.46322236809568,70.44215813265643,20.48833551061783
95,239.95943590000002,55.29384572,70.2707165,20.31938607
96,239.95943590000002,55.29384572,70.2707165,20.31938607
97,241.76246719886316,57.07784013687755,72.07646079189708,22.098880836164845
98,249.3057614,64.54149024,79.63110527,29.54370587
99,249.22278620827677,64.45939112232693,79.54800522680178,29.46181382548245
100,249.3057614,64.54149024,79.63110527,29.54370587
101,248.77849323223617,64.0197891091982,79.10304373005951,29.02332059133474
102,244.91478907662471,60.16644886126449,75.24340775823832,25.16078650028817
103,234.45318480514817,49.74280047432058,64.78960580949166,14.718368597624549
104,222.76792756315663,38.09993866835418,53.11306349743038,3.0545418790308827
105,215.75047430000004,31.10794552,46.10084389,-3.950041518
106,215.75047430000004,31.10794552,46.10084389,-3.950041518
107,215.75047430000004,31.10794552,46.10084389,-3.950041518
108,215.75047430000004,31.10794552,46.10084389,-3.950041518
109,215.75047430000004,31.10794552,46.10084389,-3.950041518
110,215.75047430000004,31.10794552,46.10084389,-3.950041518
113,219.28760818330912,34.63224628118292,49.63533975915941,-0.41939466607395204
114,229.37260710599946,44.680655686177126,59.712817233486454,9.647108574330264
115,215.75047430000004,31.10794552,46.10084389,-3.950041518
116,215.75047430000004,31.10794552,46.10084389,-3.950041518
117,215.75047430000004,31.10794552,46.10084389,-3.950041518
118,234.82188077010142,50.110158768577236,65.15802679894085,15.086388381699633
119,215.75047430000004,31.10794552,46.10084389,-3.950041518
120,215.75047430000004,31.10794552,46.10084389,-3.950041518
121,215.75047430000004,31.10794552,46.10084389,-3.950041518
122,216.1692485445295,31.52520040416578,46.519305810365594,-3.5320352968918414
123,215.75047430000004,31.10794552,46.10084389,-3.950041518
124,215.75047430000004,31.10794552,46.10084389,-3.950041518
125,215.7540060504683,31.111482792335885,46.104361590436106,-3.9465077618727453
126,249.3057614,64.54149024,79.63110527,29.54370587
127,249.3057614,64.54149024,79.63110527,29.54370587
128,225.7536358369774,41.074814454580405,56.096545013392074,6.034774424787077
129,232.56188216079906,47.91386624356652,62.86515447228541,12.856214555516924
130,244.2035467114909,59.4578887236811,74.53263219995381,24.45089548358508
131,245.39280185302238,60.75508029557566,75.65111077928523,25.689902194877092
132,245.34995189999998,60.7537017,75.58256866,25.66624544
