Names	Betas
wetland 	-1.8102
pay     	0.00379614
cc	-0.435556
nm      	-0.69519
asc     	-2.93589
dems18  	4.9097
costtax 	-0.000944299
incfarm1	0.610077
incfarm23	0.809684
incfarm4	0.561065
incfarm5	0.582068
incfarm6	2.32532
farmsi2 	0.352427
farmsi3 	0.0365434
farmsi4	0.273401
fscaware	0.0834146
fscpast 	0.50496
fscapp  	1.44682
fsresp	0.44789
fsinfo	0.927479
clake	0.107409
