Names	Betas
wetland 	-1.81589
pay     	0.00380024
cc	-0.45073
nm      	-0.707487
asc     	-2.71831
dems18  	4.62202
costtax 	-0.000945855
incfarm1	0.608217
incfarm23	0.767166
incfarm4	0.577727
incfarm5	0.571024
incfarm6	2.19191
farmsi2 	0.36686
farmsi3 	0.0335858
farmsi4	0.2648
fscaware	0.115993
fscpast 	0.498642
fscapp  	1.49624
fsresp	0.961748
clake	0.104234
