Subbasin,CountyID,County,Area_acre,Inter_acre,WLD,CC,NM,ASC_obs,Subbasin,original,weight
82,33,Stevens,14025,14034,222.4095129,37.91125157,52.66306618,2.746698187,82,14034,1
83,33,Stevens,22590,22602,222.4095129,37.91125157,52.66306618,2.746698187,83,22602,1
84,33,Stevens,25864,25878,222.4095129,37.91125157,52.66306618,2.746698187,84,25878,1
85,1,Big Stone,13467,81,231.9748276,47.26910078,62.24772744,12.28486201,85,81,0.006010686
85,33,Stevens,13467,13018,222.4095129,37.91125157,52.66306618,2.746698187,85,13018,0.966013654
85,34,Swift,13467,377,233.7713403,49.17832665,64.02132331,14.08271563,85,377,0.02797566
86,1,Big Stone,24867,14612,231.9748276,47.26910078,62.24772744,12.28486201,86,14612,0.587181033
86,33,Stevens,24867,5572,222.4095129,37.91125157,52.66306618,2.746698187,86,5572,0.223909986
86,34,Swift,24867,4701,233.7713403,49.17832665,64.02132331,14.08271563,86,4701,0.188908981
87,33,Stevens,15194,12284,222.4095129,37.91125157,52.66306618,2.746698187,87,12284,0.807998421
87,34,Swift,15194,2919,233.7713403,49.17832665,64.02132331,14.08271563,87,2919,0.192001579
88,33,Stevens,8210,3805,222.4095129,37.91125157,52.66306618,2.746698187,88,3805,0.463233504
88,34,Swift,8210,4409,233.7713403,49.17832665,64.02132331,14.08271563,88,4409,0.536766496
89,33,Stevens,28982,28997,222.4095129,37.91125157,52.66306618,2.746698187,89,28997,1
90,33,Stevens,32022,10310,222.4095129,37.91125157,52.66306618,2.746698187,90,10310,0.321815401
90,34,Swift,32022,21727,233.7713403,49.17832665,64.02132331,14.08271563,90,21727,0.678184599
91,34,Swift,12847,12855,233.7713403,49.17832665,64.02132331,14.08271563,91,12855,1
92,34,Swift,23931,23944,233.7713403,49.17832665,64.02132331,14.08271563,92,23944,1
93,17,Lincoln,24898,6210,239.9594359,55.29384572,70.2707165,20.31938607,93,6210,1
94,17,Lincoln,24828,22672,239.9594359,55.29384572,70.2707165,20.31938607,94,22672,0.981684347
94,38,Yellow Medicine,24828,423,249.3057614,64.54149024,79.63110527,29.54370587,94,423,0.018315653
95,17,Lincoln,12541,9,239.9594359,55.29384572,70.2707165,20.31938607,95,9,1
96,17,Lincoln,18852,0,239.9594359,55.29384572,70.2707165,20.31938607,96,0,1
97,17,Lincoln,17373,13325,239.9594359,55.29384572,70.2707165,20.31938607,97,13325,0.807086614
97,38,Yellow Medicine,17373,3185,249.3057614,64.54149024,79.63110527,29.54370587,97,3185,0.192913386
98,38,Yellow Medicine,17223,17237,249.3057614,64.54149024,79.63110527,29.54370587,98,17237,1
99,17,Lincoln,11505,25,239.9594359,55.29384572,70.2707165,20.31938607,99,25,0.008877841
99,38,Yellow Medicine,11505,2791,249.3057614,64.54149024,79.63110527,29.54370587,99,2791,0.991122159
100,38,Yellow Medicine,20640,18159,249.3057614,64.54149024,79.63110527,29.54370587,100,18159,1
101,17,Lincoln,23186,1299,239.9594359,55.29384572,70.2707165,20.31938607,101,1299,0.056414488
101,38,Yellow Medicine,23186,21727,249.3057614,64.54149024,79.63110527,29.54370587,101,21727,0.943585512
102,15,Lac qui Parle,13965,1829,215.7504743,31.10794552,46.10084389,-3.950041518,102,1829,0.130857838
102,38,Yellow Medicine,13965,12148,249.3057614,64.54149024,79.63110527,29.54370587,102,12148,0.869142162
103,15,Lac qui Parle,16276,7210,215.7504743,31.10794552,46.10084389,-3.950041518,103,7210,0.442629996
103,38,Yellow Medicine,16276,9079,249.3057614,64.54149024,79.63110527,29.54370587,103,9079,0.557370004
104,15,Lac qui Parle,11317,537,215.7504743,31.10794552,46.10084389,-3.950041518,104,537,0.790868925
104,38,Yellow Medicine,11317,142,249.3057614,64.54149024,79.63110527,29.54370587,104,142,0.209131075
105,15,Lac qui Parle,25658,326,215.7504743,31.10794552,46.10084389,-3.950041518,105,326,1
106,15,Lac qui Parle,27097,6060,215.7504743,31.10794552,46.10084389,-3.950041518,106,6060,1
107,15,Lac qui Parle,22301,3690,215.7504743,31.10794552,46.10084389,-3.950041518,107,3690,1
108,15,Lac qui Parle,24948,8341,215.7504743,31.10794552,46.10084389,-3.950041518,108,8341,1
109,15,Lac qui Parle,12889,10873,215.7504743,31.10794552,46.10084389,-3.950041518,109,10873,1
110,15,Lac qui Parle,16503,11615,215.7504743,31.10794552,46.10084389,-3.950041518,110,11615,1
113,15,Lac qui Parle,17719,15488,215.7504743,31.10794552,46.10084389,-3.950041518,113,15488,0.894587882
113,38,Yellow Medicine,17719,1825,249.3057614,64.54149024,79.63110527,29.54370587,113,1825,0.105412118
114,15,Lac qui Parle,38820,18875,215.7504743,31.10794552,46.10084389,-3.950041518,114,18875,0.594039152
114,38,Yellow Medicine,38820,12899,249.3057614,64.54149024,79.63110527,29.54370587,114,12899,0.405960848
115,15,Lac qui Parle,27637,27659,215.7504743,31.10794552,46.10084389,-3.950041518,115,27659,1
116,15,Lac qui Parle,31884,31910,215.7504743,31.10794552,46.10084389,-3.950041518,116,31910,1
117,15,Lac qui Parle,10514,10521,215.7504743,31.10794552,46.10084389,-3.950041518,117,10521,1
118,15,Lac qui Parle,35381,15281,215.7504743,31.10794552,46.10084389,-3.950041518,118,15281,0.43164228
118,38,Yellow Medicine,35381,20121,249.3057614,64.54149024,79.63110527,29.54370587,118,20121,0.56835772
119,15,Lac qui Parle,15561,15570,215.7504743,31.10794552,46.10084389,-3.950041518,119,15570,1
120,15,Lac qui Parle,26810,26824,215.7504743,31.10794552,46.10084389,-3.950041518,120,26824,1
121,15,Lac qui Parle,20478,20494,215.7504743,31.10794552,46.10084389,-3.950041518,121,20494,1
122,15,Lac qui Parle,25143,24846,215.7504743,31.10794552,46.10084389,-3.950041518,122,24846,0.987519873
122,38,Yellow Medicine,25143,314,249.3057614,64.54149024,79.63110527,29.54370587,122,314,0.012480127
123,15,Lac qui Parle,10917,10924,215.7504743,31.10794552,46.10084389,-3.950041518,123,10924,1
124,15,Lac qui Parle,34491,34515,215.7504743,31.10794552,46.10084389,-3.950041518,124,34515,1
125,5,Chippewa,25130,3,245.3499519,60.7537017,75.58256866,25.66624544,125,3,0.000119318
125,15,Lac qui Parle,25130,25140,215.7504743,31.10794552,46.10084389,-3.950041518,125,25140,0.999880682
126,38,Yellow Medicine,27869,27881,249.3057614,64.54149024,79.63110527,29.54370587,126,27881,1
127,38,Yellow Medicine,22106,22112,249.3057614,64.54149024,79.63110527,29.54370587,127,22112,1
128,15,Lac qui Parle,14596,10249,215.7504743,31.10794552,46.10084389,-3.950041518,128,10249,0.701890152
128,38,Yellow Medicine,14596,4353,249.3057614,64.54149024,79.63110527,29.54370587,128,4353,0.298109848
129,5,Chippewa,26154,9451,245.3499519,60.7537017,75.58256866,25.66624544,129,9451,0.36120772
129,15,Lac qui Parle,26154,11942,215.7504743,31.10794552,46.10084389,-3.950041518,129,11942,0.456411236
129,38,Yellow Medicine,26154,4772,249.3057614,64.54149024,79.63110527,29.54370587,129,4772,0.182381043
130,5,Chippewa,34657,23,245.3499519,60.7537017,75.58256866,25.66624544,130,23,0.000663398
130,15,Lac qui Parle,34657,5269,215.7504743,31.10794552,46.10084389,-3.950041518,130,5269,0.151975772
130,38,Yellow Medicine,34657,29378,249.3057614,64.54149024,79.63110527,29.54370587,130,29378,0.847360831
131,5,Chippewa,26883,19661,245.3499519,60.7537017,75.58256866,25.66624544,131,19661,0.731136812
131,15,Lac qui Parle,26883,818,215.7504743,31.10794552,46.10084389,-3.950041518,131,818,0.030419099
131,38,Yellow Medicine,26883,6412,249.3057614,64.54149024,79.63110527,29.54370587,131,6412,0.238444089
132,5,Chippewa,21570,21574,245.3499519,60.7537017,75.58256866,25.66624544,132,21574,1
133,38,Yellow Medicine,14751,14755,249.3057614,64.54149024,79.63110527,29.54370587,133,14755,1
134,5,Chippewa,20932,8195,245.3499519,60.7537017,75.58256866,25.66624544,134,8195,0.391431028
134,27,Renville,20932,3955,267.1064237,82.60749044,97.36010955,47.49372663,134,3955,0.188909056
134,38,Yellow Medicine,20932,8786,249.3057614,64.54149024,79.63110527,29.54370587,134,8786,0.419659916
135,17,Lincoln,15797,15813,239.9594359,55.29384572,70.2707165,20.31938607,135,15813,1
136,17,Lincoln,29251,29276,239.9594359,55.29384572,70.2707165,20.31938607,136,29276,1
137,17,Lincoln,27344,27303,239.9594359,55.29384572,70.2707165,20.31938607,137,27303,1
138,17,Lincoln,16687,15563,239.9594359,55.29384572,70.2707165,20.31938607,138,15563,0.931916168
138,38,Yellow Medicine,16687,1137,249.3057614,64.54149024,79.63110527,29.54370587,138,1137,0.068083832
139,17,Lincoln,22511,14419,239.9594359,55.29384572,70.2707165,20.31938607,139,14419,0.640076353
139,18,Lyon,22511,8108,229.14529,44.48585432,59.39409691,9.437279774,139,8108,0.359923647
140,17,Lincoln,37434,7000,239.9594359,55.29384572,70.2707165,20.31938607,140,7000,0.186856014
140,18,Lyon,37434,206,229.14529,44.48585432,59.39409691,9.437279774,140,206,0.005498906
140,38,Yellow Medicine,37434,30256,249.3057614,64.54149024,79.63110527,29.54370587,140,30256,0.80764508
141,17,Lincoln,13906,892,239.9594359,55.29384572,70.2707165,20.31938607,141,892,0.064103485
141,18,Lyon,13906,10998,229.14529,44.48585432,59.39409691,9.437279774,141,10998,0.790370104
141,38,Yellow Medicine,13906,2025,249.3057614,64.54149024,79.63110527,29.54370587,141,2025,0.14552641
142,17,Lincoln,23748,23768,239.9594359,55.29384572,70.2707165,20.31938607,142,23768,1
143,17,Lincoln,17938,17952,239.9594359,55.29384572,70.2707165,20.31938607,143,17952,1
144,17,Lincoln,15009,11094,239.9594359,55.29384572,70.2707165,20.31938607,144,11094,0.73861518
144,18,Lyon,15009,3926,229.14529,44.48585432,59.39409691,9.437279774,144,3926,0.26138482
145,17,Lincoln,22752,4956,239.9594359,55.29384572,70.2707165,20.31938607,145,4956,0.217693051
145,18,Lyon,22752,17810,229.14529,44.48585432,59.39409691,9.437279774,145,17810,0.782306949
146,38,Yellow Medicine,11273,11281,249.3057614,64.54149024,79.63110527,29.54370587,146,11281,1
147,18,Lyon,10144,372,229.14529,44.48585432,59.39409691,9.437279774,147,372,0.036650246
147,38,Yellow Medicine,10144,9778,249.3057614,64.54149024,79.63110527,29.54370587,147,9778,0.963349754
148,38,Yellow Medicine,26514,26530,249.3057614,64.54149024,79.63110527,29.54370587,148,26530,1
149,18,Lyon,16496,950,229.14529,44.48585432,59.39409691,9.437279774,149,950,0.057561803
149,38,Yellow Medicine,16496,15554,249.3057614,64.54149024,79.63110527,29.54370587,149,15554,0.942438197
150,38,Yellow Medicine,18298,18305,249.3057614,64.54149024,79.63110527,29.54370587,150,18305,1
151,18,Lyon,18760,18771,229.14529,44.48585432,59.39409691,9.437279774,151,18771,1
152,18,Lyon,29484,12835,229.14529,44.48585432,59.39409691,9.437279774,152,12835,0.435143748
152,38,Yellow Medicine,29484,16661,249.3057614,64.54149024,79.63110527,29.54370587,152,16661,0.564856252
153,18,Lyon,25747,24100,229.14529,44.48585432,59.39409691,9.437279774,153,24100,0.935704302
153,38,Yellow Medicine,25747,1656,249.3057614,64.54149024,79.63110527,29.54370587,153,1656,0.064295698
154,18,Lyon,14021,1127,229.14529,44.48585432,59.39409691,9.437279774,154,1127,0.080356506
154,38,Yellow Medicine,14021,12898,249.3057614,64.54149024,79.63110527,29.54370587,154,12898,0.919643494
155,27,Renville,20508,1,267.1064237,82.60749044,97.36010955,47.49372663,155,1,4.88E-05
155,38,Yellow Medicine,20508,20511,249.3057614,64.54149024,79.63110527,29.54370587,155,20511,0.999951248
156,14,Kandiyohi,21375,21371,230.169958,45.42902496,60.46463069,10.45861018,156,21371,1
157,14,Kandiyohi,27520,27518,230.169958,45.42902496,60.46463069,10.45861018,157,27518,1
158,14,Kandiyohi,17526,17523,230.169958,45.42902496,60.46463069,10.45861018,158,17523,1
159,5,Chippewa,23635,8700,245.3499519,60.7537017,75.58256866,25.66624544,159,8700,0.368129311
159,14,Kandiyohi,23635,14933,230.169958,45.42902496,60.46463069,10.45861018,159,14933,0.631870689
160,5,Chippewa,35017,19604,245.3499519,60.7537017,75.58256866,25.66624544,160,19604,0.559842362
160,14,Kandiyohi,35017,15413,230.169958,45.42902496,60.46463069,10.45861018,160,15413,0.440157638
161,14,Kandiyohi,23686,23683,230.169958,45.42902496,60.46463069,10.45861018,161,23683,1
162,14,Kandiyohi,20226,20223,230.169958,45.42902496,60.46463069,10.45861018,162,20223,1
163,5,Chippewa,32106,214,245.3499519,60.7537017,75.58256866,25.66624544,163,214,0.006665836
163,14,Kandiyohi,32106,20198,230.169958,45.42902496,60.46463069,10.45861018,163,20198,0.629142786
163,27,Renville,32106,11692,267.1064237,82.60749044,97.36010955,47.49372663,163,11692,0.364191378
164,5,Chippewa,10265,6547,245.3499519,60.7537017,75.58256866,25.66624544,164,6547,0.637736217
164,27,Renville,10265,3719,267.1064237,82.60749044,97.36010955,47.49372663,164,3719,0.362263783
165,5,Chippewa,15404,1518,245.3499519,60.7537017,75.58256866,25.66624544,165,1518,0.098539435
165,14,Kandiyohi,15404,82,230.169958,45.42902496,60.46463069,10.45861018,165,82,0.005322947
165,27,Renville,15404,13805,267.1064237,82.60749044,97.36010955,47.49372663,165,13805,0.896137618
166,5,Chippewa,15866,13483,245.3499519,60.7537017,75.58256866,25.66624544,166,13483,0.849804614
166,14,Kandiyohi,15866,2383,230.169958,45.42902496,60.46463069,10.45861018,166,2383,0.150195386
167,5,Chippewa,22174,22176,245.3499519,60.7537017,75.58256866,25.66624544,167,22176,1
168,5,Chippewa,14917,14919,245.3499519,60.7537017,75.58256866,25.66624544,168,14919,1
169,5,Chippewa,28033,21876,245.3499519,60.7537017,75.58256866,25.66624544,169,21876,0.780282494
169,27,Renville,28033,6160,267.1064237,82.60749044,97.36010955,47.49372663,169,6160,0.219717506
