Subbasin,Area_acre,inter_acre,WLD,CC,MN,ASC_obs,County,State
46,22924,22763,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
47,17823,2441.13,290.8774373,106.3412636,121.1576576,71.1698939,Codington,South Dakota
47,17823,15382.3,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
48,14075,14074.6,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
49,17965,17964.6,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
50,21090,21090,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
51,26605,21654.1,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
51,26605,4951.09,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
52,16223,7565.13,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
52,16223,8658.04,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
53,25060,24666.7,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
53,25060,393.095,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
54,16807,4327.57,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
54,16807,12479.4,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
55,14911,10978,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
55,14911,3933.21,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
56,31420,29646.9,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
56,31420,1773.07,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
57,11014,10563.1,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
57,11014,451.173,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
58,21022,1739.37,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
58,21022,19282.3,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
59,13343,13342.6,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
60,9253,1310.08,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
60,9253,7943.36,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
61,27449,12342.6,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
61,27449,391,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
61,27449,14715.4,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
62,31307,31306.5,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
63,32282,31684,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
63,32282,597.843,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
64,24851,3055.64,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
64,24851,21795.4,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
65,39166,23017.6,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
65,39166,14198.3,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
65,39166,1950.07,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
66,23281,23280.9,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
67,12455,7040.75,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
67,12455,5414.18,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
68,39847,22798.4,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
68,39847,10160.6,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
68,39847,6888.27,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
69,36698,36697.6,255.0010618,70.18700388,85.26984466,35.23543561,Otter Tail,Minnesota
70,16354,16354.1,255.0010618,70.18700388,85.26984466,35.23543561,Otter Tail,Minnesota
71,13939,13939,255.0010618,70.18700388,85.26984466,35.23543561,Otter Tail,Minnesota
72,18465,4886.91,236.8262788,52.14586221,67.11797534,17.2225039,Grant,Minnesota
72,18465,13578.4,255.0010618,70.18700388,85.26984466,35.23543561,Otter Tail,Minnesota
73,38329,15665.9,253.1559149,68.34691791,83.41991768,33.36805272,Douglas,Minnesota
73,38329,1169.13,236.8262788,52.14586221,67.11797534,17.2225039,Grant,Minnesota
73,38329,21493.5,255.0010618,70.18700388,85.26984466,35.23543561,Otter Tail,Minnesota
74,12830,2873.83,253.1559149,68.34691791,83.41991768,33.36805272,Douglas,Minnesota
74,12830,9926.53,236.8262788,52.14586221,67.11797534,17.2225039,Grant,Minnesota
74,12830,29.8216,255.0010618,70.18700388,85.26984466,35.23543561,Otter Tail,Minnesota
75,15955,15954.8,255.0010618,70.18700388,85.26984466,35.23543561,Otter Tail,Minnesota
76,17799,5161.09,236.8262788,52.14586221,67.11797534,17.2225039,Grant,Minnesota
76,17799,12637.6,255.0010618,70.18700388,85.26984466,35.23543561,Otter Tail,Minnesota
77,27158,22.3489,253.1559149,68.34691791,83.41991768,33.36805272,Douglas,Minnesota
77,27158,27135.6,236.8262788,52.14586221,67.11797534,17.2225039,Grant,Minnesota
78,32800,32799.9,236.8262788,52.14586221,67.11797534,17.2225039,Grant,Minnesota
79,35666,21285,236.8262788,52.14586221,67.11797534,17.2225039,Grant,Minnesota
79,35666,14381.3,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
80,42154,42154.4,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
81,29818,712.818,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
81,29818,29104.9,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
