Names	Betas
wetland 	-1.8145
pay     	0.00380019
cc	-0.449733
nm      	-0.705543
asc     	-2.73053
dems18  	4.66313
costtax 	-0.000966773
incfarm1	0.604321
incfarm23	0.762993
incfarm4	0.568976
incfarm5	0.56239
incfarm6	2.20074
farmsi2 	0.359386
farmsi3 	0.0329101
farmsi4	0.260051
fscaware	0.0895384
fscpast 	0.50294
fscapp  	1.49164
fsresp	1.08027
clake	0.105408
