Region,area1,area2,area3,area4
Northeast,0.21086398631308811,0.5183917878528657,0.16723695466210436,0.10350727117194183
Northwest,0.08554437328453797,0.2239249771271729,0.1923604757548033,0.4967978042086002
Southcentral,0.13192700485518166,0.3939393939393939,0.2638540097103633,0.21027959149506112
Southeast,0.15262610504420177,0.4139365574622985,0.24882995319812792,0.18434737389495578
Southwest,0.10430537061695518,0.33644030181979584,0.31025299600532624,0.24611628939192187
Westcentral,0.11783503095666067,0.36428999400838824,0.25723986419013384,0.26003594967046134
