Subbasin,WLD_w,CC_w,NM_w,ASC_w,GW_w,Buffer_w
1,295.0883315485521,110.58298813810808,125.30893990817742,75.44111230927098,19.909999999999997,33.419999999999995
2,260.051463719075,75.61803594525574,90.27932883942042,40.32750788948592,19.91,33.42
3,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
4,283.7829765402522,99.3008381664755,114.00592644069535,64.11099668595891,19.91,33.42
5,258.56433594660194,74.1339606071789,88.79250907765358,38.837123058900005,19.910000000000004,33.42
6,260.34176052346453,75.90773689502724,90.56956551816008,40.61844049234507,19.909999999999997,33.42
7,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
8,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
9,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
10,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
11,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
12,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
13,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
14,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
15,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
16,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
17,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
18,254.94370216582126,70.50073525356821,85.17914373993163,35.22661443330087,19.89299539261353,36.880437603147215
19,233.2823839138632,48.69527851460612,63.56562999377775,13.63434989100072,19.77,61.91
20,232.92083501155912,48.30092992023165,63.201220280322,13.261206603116626,19.77,61.90999999999999
21,231.9748276,47.26910078,62.24772744,12.28486201,19.77,61.91
22,257.8722638963143,73.4432966880602,88.10058184131977,38.1435388425627,19.90999474019758,33.42107036979321
23,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
24,231.9748276,47.26910078,62.24772744,12.28486201,19.77,61.91
25,231.9748276,47.26910078,62.24772744,12.28486201,19.77,61.91
26,241.50669171488636,56.90972066444317,71.76588001200236,21.8117880796107,19.827954708185615,50.11621688422806
27,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
28,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
29,257.8732369,73.44428009,88.10155317,38.14451039,19.91,33.42
30,257.52877180370587,73.09569947654087,87.75812538706512,37.80209031456667,19.91,33.419999999999995
31,241.94512564266472,57.325866778868836,72.22140741852465,22.310961165639085,19.910000000000004,33.42000000000001
32,240.7144987851152,56.08053693396169,70.99448643914198,21.08764029532203,19.91,33.42
33,245.6273746899476,61.05210971500429,75.89256783543567,25.971349431677865,19.91,33.42
34,241.7227874274801,57.10087216467354,71.99973874694076,22.089942928278397,19.909999999999997,33.419999999999995
35,237.03967936757766,52.35983226610389,67.33133059798213,17.43549477688072,19.909999999999997,33.419999999999995
36,237.94834044045766,53.27091822501442,68.23979874229516,18.342411383977552,19.910000000000004,33.42000000000001
37,236.8262788,52.14586221,67.11797534,17.2225039,19.91,33.42
38,236.8262788,52.14586221,67.11797534,17.2225039,19.91,33.42
39,236.8262788,52.14586221,67.11797534,17.2225039,19.91,33.42
40,236.71830848793803,52.0378908914035,67.01012041534385,17.11367152409481,19.908664920838586,33.691688609347715
41,231.09061017074785,46.40406145496919,61.3617216152706,11.403154407075165,19.769999999999996,61.90999999999998
42,231.9748276,47.26910078,62.24772744,12.28486201,19.77,61.91
43,231.9748276,47.26910078,62.24772744,12.28486201,19.77,61.91
44,231.9748276,47.26910078,62.24772744,12.28486201,19.77,61.91
45,278.8512097442973,94.28294241547283,109.13398347474272,59.16675453757099,19.91,33.42
46,237.20465973864526,52.5252529097979,67.4962759401181,17.60015841531736,19.910000000000004,33.42000000000001
47,244.22922562612186,59.568564809621435,74.51935035902574,24.611238400076587,19.91,33.42
48,236.8262788,52.14586221,67.11797534,17.2225039,19.91,33.42
49,236.8262788,52.14586221,67.11797534,17.2225039,19.91,33.42
50,236.8262788,52.14586221,67.11797534,17.2225039,19.91,33.42
51,232.90417920582667,48.23081334379411,63.2067945008186,13.282401314992876,19.88394671490788,38.72184351624627
52,268.5999644151259,83.99292265713072,98.86481803993816,48.967658711821926,19.909999999999997,33.42
53,303.89506641194095,119.36953147726427,134.13010217297378,84.23106789135221,19.91,33.42
54,254.37080298380215,69.73090188609302,84.64767763060479,34.751274186863284,19.909999999999997,33.419999999999995
55,231.26700057794795,46.59657785921459,61.574173623676884,11.637707806085974,19.873071447588764,40.93496041568726
56,235.63694358787808,50.95866505654828,65.93195112482566,16.02770947135181,19.902099616899697,35.027727960911484
57,235.96295954654778,51.284094938862125,66.25705948584502,16.355221889296676,19.9042652392945,34.58702380356832
58,217.49432348387387,32.848659799744915,47.839838362379524,-2.1981878201869023,19.781583846573557,59.552687222280625
59,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
60,218.73433651333477,34.08644366741709,49.07639931263375,-0.9524829558638173,19.789820866618253,57.87645364318568
61,223.34606403369088,38.6745781965225,53.66076313300267,3.651670221703844,19.771994243870452,61.504171372363295
62,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
63,232.00809808403358,47.30445865352037,62.28057351622026,12.318157327176953,19.77,61.91
64,233.55044427043228,48.943571608061845,63.80324509338585,13.861654723276706,19.77,61.91
65,226.18268432004288,41.50547979382891,56.48252717533774,6.488960865387751,19.769999999999996,61.90999999999999
66,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
67,240.316709051386,55.72186578536949,70.5568749508372,20.63086463683966,19.77,61.91
68,235.80086472217096,51.19337350340908,66.0665091606891,16.112021872117342,19.77,61.91
69,255.00106180000003,70.18700388,85.26984466,35.23543561,19.77,61.91
70,255.00106180000003,70.18700388,85.26984466,35.23543561,19.77,61.91
71,255.00106180000003,70.18700388,85.26984466,35.23543561,19.77,61.91
72,250.19104080438558,65.41235153793049,80.46588785133548,30.46824913422916,19.770000000000003,61.91
73,253.69251772409888,68.88460478569428,83.9600457698763,33.92274001571128,19.770000000000003,61.91000000000001
74,240.5261951926079,55.816667275826745,70.81163535343859,20.880810420748197,19.770000000000003,61.910000000000004
75,255.00106180000003,70.18700388,85.26984466,35.23543561,19.77,61.91
76,249.73091603121193,64.9556101166601,80.00634317597174,30.012221894880295,19.769999999999996,61.90999999999998
77,236.83971683265776,52.15919443089293,67.13139058282647,17.23579044300632,19.770000000000003,61.910000000000004
78,236.8262788,52.14586221,67.11797534,17.2225039,19.77,61.91
79,231.01317692406474,46.406208643551224,61.28949340880142,11.385596099068394,19.77,61.91
80,222.4095129,37.91125157,52.66306618,2.746698187,19.77,61.91
81,222.6381799124731,38.13495894285039,52.89219568850333,2.9747161345834874,19.77,61.910000000000004
82,222.4095129,37.91125157,52.66306618,2.746698187,19.77,61.91
83,222.4095129,37.91125157,52.66306618,2.746698187,19.77,61.91
84,222.4095129,37.91125157,52.66306618,2.746698187,19.77,61.91
85,222.78494242579316,38.282787467511845,53.03851124314659,3.121242487671838,19.77,61.91
86,230.17243123970712,45.53446426839359,60.436667602046455,10.488798904908068,19.769999999999996,61.90999999999999
87,224.587662965808,40.071236884243184,54.840531797473986,4.919900284707563,19.769999999999996,61.90999999999998
88,228.47228472045072,43.92346271254266,58.72393287272915,8.795697585596583,19.77,61.91
89,222.4095129,37.91125157,52.66306618,2.746698187,19.77,61.91
90,230.10206279698332,45.539649203109406,60.35319881793215,10.421773396587412,19.77,61.91
91,233.7713403,49.17832665,64.02132331,14.08271563,19.77,61.91
92,233.7713403,49.17832665,64.02132331,14.08271563,19.77,61.91
93,275.6024473156517,91.0792502545768,105.86199633556238,55.887867068664264,19.87510280188402,40.52157981660294
94,244.1653399643103,59.50959173453685,74.47166978296379,24.519108967780394,19.779890218772607,59.89734047977393
95,294.2700513151085,109.77551717236882,124.50924595297707,74.55994026971027,19.909896600252118,33.44104184869329
