ID,Generation,Cost,Reach Outlet NO3 kg/yr,N_reduction_kg,Reach Outlet Sediment tons/yr,S_reduction_ton,N_reduction_pct,S_reduction_pct,# PND Lake small,# PND Marsh small,# PND Marsh med,# PND Marsh large,# RES Marsh 50 ha,# RES Marsh 250 ha,# RES Marsh 500 ha,# RAMO area m^2,# RAMO sediment reduced Mg/yr,SWAT (1st) Outlet Average Daily FlowOut m^3/sec,SWAT (1st) WYLD m^3,SWAT (1st) LeSueur NO3 kg/yr,SWAT (1st) Reach Outlet NO3 kg/yr,SWAT (1st) Reach Outlet P kg/yr,SWAT (1st) Reach Outlet Sediment tons/yr,SWAT (1st) Sediment Transport Subbasin tons/yr,Point Source Sediment tons/yr,Point Source Mineral P kg/yr,Adjusted Point Source Sediment tons/yr,Adjusted Point Source Mineral P kg/yr,SWAT (2nd) Outlet Average Daily FlowOut m^3/sec,SWAT (2nd) WYLD m^3,SWAT (2nd) LeSueur NO3 kg/yr,SWAT (2nd) Reach Outlet P kg/yr,SWAT (2nd) Sediment Transport Subbasin tons/yr,SWAT (2nd) NO3 YIELD (SQ) kg/ha,SWAT (2nd) NO3 YIELD (LAT) kg/ha,SWAT (2nd) NO3 YIELD (TILE) kg/ha,SWAT (1st) HRU Sediment Transport HRU 1300 t/ha,SWAT (1st) HRU NO3 Leached HRU 1300 kg/ha,SWAT (2nd) HRU Sediment Transport HRU 1300 t/ha,SWAT (2nd) HRU NO3 Leached HRU 1300 kg/ha,Dominates,Superiors,RawFitness,Score
20016754,19,21517047.68,5845512.194,22038000.15,28840.3799,577054.516,79,95.2,3,2,0,0,84,10,2,0,0,223.432876,163381033,2176172.244,5844249.479,1119916.928,28801.929,1358637.344,1023660.702,451434.368,989990.9272,436586.0062,223.432876,163381033,2176162.743,1082732.031,1358637.344,0.1361,0.6314,10.6004,1909.710242,1253.780738,1909.710242,1253.780738,5,0,0,999999.5625
20012387,11,21715782.22,5730580.457,22152931.88,105727.5639,500167.332,79.4,82.6,0,2,0,0,145,1,1,0,0,225.397885,163792366.5,1341338.013,5728262.775,1129295.854,105727.5639,1353020.783,1023660.702,451434.368,934920.8982,412300.1228,225.397885,163792366.5,1341340.798,1068820.885,1353020.783,0.1359,0.6362,10.5914,1880.709473,1255.936746,1880.709473,1255.936746,0,0,0,999999.5625
20025318,28,21852979.61,8616752.963,19266759.38,103888.0681,502006.8278,69.1,82.9,0,0,1,1,63,1,3,3103998,6902.5175,225.458691,163810296.5,1830405.146,8615175.147,1180134.284,103888.0681,1394844.378,1023660.702,451434.368,963872.7555,425067.8929,225.458691,163810296.5,1830406.208,1132531.97,1394844.378,0.1373,0.6345,10.5752,1994.151071,1253.619555,1994.151071,1253.619555,0,40,155,999844.5625
20008267,14,21899251.71,7889091.655,19994420.69,22644.0105,583250.8854,71.7,96.3,2,7,1,0,67,11,0,3687174,8199.3554,224.068163,163012487,3190712.72,7888431.446,1130349.378,22641.9463,1288519.77,1023660.702,451434.368,1024332.598,451730.684,224.068163,163012487,3190717.523,1106627.758,1288519.77,0.1348,0.6325,10.5971,1819.291679,1254.023661,1819.291679,1254.023661,1,0,0,999999.5625
20022538,28,21970925.06,8339543.108,19543969.23,22461.2452,583433.6507,70.1,96.3,1,2,1,0,67,13,0,3744061,8325.8579,224.820397,163654329.3,3269069.269,8338874.147,1167515.287,22430.8448,1360946.485,1023660.702,451434.368,1041877.197,459467.8521,224.820397,163654329.3,3269040.629,1150289.114,1360946.485,0.1378,0.6346,10.5966,1940.098431,1253.911811,1940.098431,1253.911811,0,0,0,999999.5625
20015237,14,22073116.5,7903361.992,19980150.35,22512.1928,583382.7031,71.7,96.3,3,8,1,0,67,11,0,4187098,9311.0617,223.739785,162689441.3,3185793.371,7902624.847,1120290.36,22510.1455,1259932.506,1023660.702,451434.368,1020661.964,450111.9339,223.739785,162688281.3,3185798.942,1095001.101,1259933.169,0.1338,0.6278,10.6027,1769.870621,1253.735609,1769.871815,1253.737865,1,0,0,999999.5625
20016996,0,22160538.46,8328243.471,19555268.87,22341.0936,583553.8023,70.1,96.3,2,1,1,0,63,14,1,3103998,6902.5175,225.14773,163704044.6,3266385.909,8327167.421,1153137.39,22327.1737,1338529.862,1023660.702,451434.368,1038889.07,458150.0883,225.133609,163693089.3,3266357.574,1134161.819,1338685.134,0.1364,0.6336,10.6005,1880.647801,1253.616641,1880.927304,1253.573893,0,0,0,999999.5625
20024225,11,22202727.42,6777941.906,21105570.43,22663.8111,583231.0848,75.7,96.3,0,3,0,0,78,10,0,4700260,10452.2061,224.246209,163712316.9,2449349.953,6776960.895,1149279.202,22663.8099,1372842.469,1023660.702,451434.368,1002688.212,442185.5091,224.246209,163712316.9,2449320.343,1116779.231,1372842.469,0.1372,0.6334,10.5922,1964.99084,1253.623937,1964.99084,1253.623937,2,0,0,999999.5625
20015264,15,22238778.03,6792501.485,21091010.86,22558.387,583336.5089,75.6,96.3,1,4,1,1,78,10,0,3103998,6902.5175,223.889128,163473682.8,2449085.808,6778710.366,1099020.765,22476.8808,1221408.096,1023660.702,451434.368,1004298.564,442895.6746,224.187218,163689927.3,2456260.682,1078437.543,1216510.964,0.137,0.6341,10.6103,1671.093409,1253.354072,1664.613966,1255.790287,3,0,0,999999.5625
20019459,16,22266304.25,7563912.354,20319599.99,21141.2399,584753.656,72.9,96.5,1,3,2,0,65,12,1,3744061,8325.8579,224.622626,163653160.3,3269069.269,7563032.507,1151019.369,21102.0019,1359840.056,1023660.702,451434.368,1045055.426,460869.451,224.622626,163653160.3,3269040.629,1135194.322,1359840.056,0.1377,0.6337,10.5972,1941.467575,1253.913986,1941.467575,1253.913986,2,0,0,999999.5625
