Region_y,id,mean_wld,mean_cc,mean_nm,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,unemploy,costlive,hrwage,taxcost,cashrent,crp2018,landvalu,impstrea,implakes,impwetl,imptotal,childcar,foodcost,healthc,housecos,othercos,dfl08to18,dflmean,concern,att_wld_unfav,att_nm_unfav,comp,norm_control,aware,past,appreciate,social,Cluster
Northeast,6929839196.4,211.31576838,-192.41071839800003,-95.95767346400001,1.3333333333333333,3.6666666666666665,2.0,2.0,2.0,2.2,2.6,6.333333333333333,3.66,60749.6,19.47,787.0,100.2,68.6,6852.0,0.0,0.0,0.0,0.0,522.8,749.2,472.2,1030.0,519.8,0.4902179102,0.4608191732,0.09955867004154399,-0.08060110550124314,0.13259664679460723,0.08074322159220201,-0.1638086716817432,0.13986913139046359,-0.21812499021282655,0.08108851160482523,-0.06530199910835446,0.6
Northwest,6942140459.8,484.416550706667,81.7200000326667,185.72952354000003,1.2857142857142858,3.142857142857143,2.076923076923077,3.7142857142857144,3.5,2.1333333333333333,1.3571428571428572,4.6923076923076925,4.200000000000002,46600.0,14.94,476.0,109.26666666666667,106.0,2686.0,14.5,7871.0,0.0,10.0,210.0,752.0,417.0,698.0,424.0,0.4628046080000003,0.45234774500000036,0.44716570952533086,-0.16895543662275045,-0.049764218766994425,0.10439668413764795,-0.14464024447484514,-0.030237472641828012,-0.0971046676642039,0.020505325682076622,0.05657891605860725,0.8666666666666667
Southcentral,6940992951.406033,416.33849596236837,14.35363142571692,115.82064648169178,1.155495978552279,3.1716621253405997,1.9889807162534436,3.7522388059701495,3.6940298507462686,2.0442260442260443,1.4360189573459716,3.1031175059952036,3.6482598607888588,46717.227378190255,14.973178654292385,472.77494199535965,216.30607476635515,216.70997679814386,6953.763341067285,202.02459396751752,2800.8399071925755,0.0,25.496519721577727,237.2505800464037,753.4825986078886,417.96055684454757,772.647331786543,446.25058004640374,0.5337700122134559,0.5047711658236655,0.0726948533884041,-0.016830405208135713,0.00814085894513707,0.014626913031135804,-0.011970861218166562,-0.012183085310607439,-0.06160402085215511,-0.03009616999622893,-0.0037864814160274737,0.9930394431554525
Southeast,6945556004.461538,360.1984143130769,-41.77631760076922,58.203121566076916,1.1666666666666667,3.4166666666666665,2.3333333333333335,3.3333333333333335,2.8333333333333335,2.2,1.6153846153846154,3.076923076923077,3.153846153846154,62382.0,19.991538461538465,822.0,198.07692307692307,204.46153846153845,7456.461538461538,20.138461538461545,704.8461538461538,0.0,11.0,676.6153846153846,754.7692307692307,475.38461538461536,1065.0,531.6153846153846,0.5326880767692309,0.4946016913846153,0.4209047254763962,-0.27184779816673915,-0.28216667257037753,0.18853826920379216,0.0760150530279706,-0.03215590551630894,-0.3038830225711152,-0.04210542201787895,0.07819874822457357,0.8461538461538461
Southwest,6940578877.545455,385.1986119534341,-16.91390579731317,83.76700212428955,1.0625,3.23828125,1.988,4.3130434782608695,4.318493150684931,2.3184931506849313,1.3058419243986255,2.744107744107744,4.177777777777779,44634.02693602694,14.30653198653197,426.1077441077441,200.27796610169491,191.41077441077442,6481.737373737374,178.9030303030299,1032.4579124579125,17.356969696969674,15.599326599326599,201.68350168350167,764.969696969697,417.0,698.0,427.5353535353535,0.4876416945622902,0.4655245389528615,-0.16429032592286483,-0.0730645541597985,0.02850549192527812,-0.032124401734024956,-0.03213609323890181,-0.004844031728614423,0.10163014984895448,0.01189292304641987,0.0018903576567481217,1.2222222222222223
Westcentral,6939590235.634869,443.55198387059164,41.79997543244745,143.84987907649034,1.0424710424710424,3.108527131782946,2.1705426356589146,4.365461847389558,4.076923076923077,2.462046204620462,1.3576158940397351,3.3691275167785233,4.054276315789468,46099.6875,14.775953947368421,460.58223684210526,182.49333333333334,183.48684210526315,6121.5921052631575,133.4776315789471,4286.523026315789,13.815131578947383,19.332236842105264,232.51973684210526,763.3026315789474,419.4967105263158,718.875,433.39473684210526,0.5568073821907894,0.5319165164539473,-0.126007625660011,0.12740035238137876,0.018113445734936645,-0.06741104263303932,0.06743351409292479,0.01676433667628338,0.04567825160964128,0.03088203225958682,-0.01709383074342017,1.131578947368421
