"id","aware","past","appreciate","resp","concern","value","landcontrol","info_so","info_ma"
6967500969,-0.273778778,0.251060593,0.277409011,0.003483557,0.963726897,0.238775317,-0.249214265,0.696304143,0.023407113
6966018516,-0.249872656,0.218860797,-0.154588384,0.043082847,-1.203146111,0.264208816,0.168343863,0.053532425,-0.004510531
6954002510,-0.30903357,-0.72591515,-0.2355586,-0.073786406,0.90823726,-0.236568254,0.464522123,0.127654234,-0.02109461
6954000142,-0.252322752,0.227540887,-0.208272522,-0.084934704,0.478197387,0.211344018,-0.182031396,0.074584558,-0.019241333
6952091365,-0.307019394,0.172243311,-0.091797279,-0.148537999,-1.462004987,-0.099549088,0.281893293,-0.081371264,-0.023684316
6950969532,-0.212033956,0.207731561,-0.050801489,0.213601756,0.09426295,-0.169504816,0.052482583,-0.204602687,-0.020403322
6950966877,-0.282397784,0.242390001,-0.131463679,-0.148892734,0.611432388,0.047421601,-0.257975756,0.236917899,0.044000722
6950963846,-0.220873619,-0.31582696,0.221770038,-0.142315131,0.965018452,-0.150740863,-0.298729308,0.078767298,0.038420885
6949522020,-0.301740293,0.248974888,0.174453418,-0.080113695,-1.621797454,0.139178732,0.983267733,-0.207449397,-0.025246353
6949520595,-0.273844517,0.239567638,0.334038357,-0.077472243,-1.316420501,-0.292426915,0.090972549,-0.079278667,-0.01752717
6949519165,-0.308226713,-0.031856705,-0.216938824,-0.068282603,-0.267053188,-0.191105065,-0.063763276,-0.082909005,-0.023703368
6949517026,-0.304178123,-0.68822527,-0.107670861,0.148201549,0.240839824,-0.577693698,-0.000645587,-0.021083285,0.078882014
6949515466,-0.304021203,-0.685684001,-0.009342364,0.028595539,0.72864055,-0.324639318,-0.287999266,-0.171851227,0.035315865
6949513982,-0.057516083,-0.001767599,0.146499887,0.218637806,0.944357772,-0.207549443,-0.435054026,-0.171851227,0.035315865
6949512250,0.208591145,0.250863765,0.253454992,0.113059303,1.791301916,-0.106661343,-0.425171814,0.074635649,-0.02175148
6949510004,-0.304927255,0.197509897,0.032755033,-0.146766894,-0.199952376,0.330051013,0.239789505,0.045312816,-0.018494333
6949508507,-0.10983981,0.20994143,0.020244203,0.047343019,0.497020841,-0.21306329,0.114888678,-0.169004517,0.040158896
6949506509,-0.250667837,0.171790447,-0.106996866,-0.083391008,-0.154732993,0.052132447,0.181629322,0.077431268,-0.014398302
6949504595,-0.139539582,0.231161999,-0.049853711,-0.064146228,-0.333622687,-0.253709815,0.255138365,-0.202458999,-0.016756322
6949502871,-0.098047034,0.181795713,0.339153741,-0.035893504,0.730466851,0.287035901,0.045724725,-0.082909005,-0.023703368
6949501136,-0.190205021,0.181575485,-0.106472936,-0.147300401,-0.844371967,-0.406052565,0.511122567,0.078265987,-0.015575282
6949498386,0.323974581,0.212458632,0.12128221,0.15809392,-0.528076348,-0.46301686,-0.34255971,-0.042926384,0.041720932
6949496064,-0.202643511,-0.725647621,-0.231325777,-0.083341859,1.022232877,0.082995465,-0.465382121,0.076779337,-0.01810448
6949493789,-0.281818204,0.18171997,-0.09449966,-0.148274567,0.151295936,0.497022133,0.176915702,-0.076431957,-0.01268414
6949491780,-0.283824091,0.156568394,-0.213883401,-0.149970909,-1.012275936,-0.455899654,1.062181408,-0.207449397,-0.025246353
6949489833,-0.095762861,0.24747539,0.094691774,-0.078676771,1.174527245,0.622115655,-0.015129266,0.014260768,-0.003673626
6949488002,-0.163276852,0.245302181,-0.007575987,-0.14563792,-1.057872014,-0.032979692,0.193621618,-0.204602687,-0.020403322
6949485959,-0.275620208,0.241503576,-0.152404686,-0.00266706,0.233411082,-0.190567572,-0.091291622,0.077482358,-0.016908449
6949478309,-0.136183077,-0.725495024,-0.228432009,-0.082470068,0.837820803,-0.110660072,0.201724295,-0.170573122,0.03749027
6949476839,-0.306596547,0.160490367,-0.040646415,-0.182268996,0.258857563,-0.227288945,-0.108914008,-0.207449397,-0.025246353
6949474644,-0.278779442,-0.685103298,0.011533977,0.000900604,0.767828768,-0.312020359,-0.206075774,-0.207449397,-0.025246353
6949471920,-0.13130809,0.199886054,0.137812994,-0.078440002,0.312229921,0.271233502,0.088122497,0.213169676,0.003598503
6949467324,-0.309174565,-0.725892221,-0.235964269,-0.084739274,0.075497106,0.221374139,0.248352684,-0.207449397,-0.025246353
6949465030,-0.309032118,0.205039743,-0.213697315,-0.150349486,0.038745997,-0.032979907,0.270641694,-0.207449397,-0.025246353
6949463084,-0.198201886,-0.708319807,-0.025734638,0.001406951,0.554727187,0.163908278,-0.167012215,-0.012997605,0.042091732
6949461204,-0.187923038,0.196023606,-0.030296115,-0.064423564,0.064422449,0.451811975,-0.144391322,0.045312816,-0.018494333
6949458706,-0.272556879,0.228483296,-0.125609277,0.211748217,0.126972575,-0.314949534,0.047498096,-0.199932809,-0.012458582
6949455558,-0.309069349,0.169509876,-0.214638754,-0.150314897,0.536018467,-0.103906752,0.291798439,-0.204602687,-0.020403322
6949418183,-0.280754787,0.205754945,-0.160134825,0.025515013,0.28488566,-0.155388316,-0.219123984,-0.071007967,-0.006053515
6949416279,-0.283500889,0.157663897,-0.169175469,-0.183812741,0.370374737,0.102789506,0.062319402,-0.207449397,-0.025246353
6949408889,-0.277594389,0.232991496,0.049234231,0.000200655,-1.088929727,0.354020178,0.107941725,0.039353596,-0.014870063
6949405911,-0.100930905,0.247193285,0.099110156,0.048530251,0.175180265,-0.313347699,0.000510574,0.453092602,0.056156114
6949403352,-0.30140121,0.247851008,0.134675765,0.001103502,-0.470932636,0.362305005,0.418620868,0.119505342,-0.02119557
6949399112,-0.281119442,0.205814245,-0.16118401,-0.002812498,0.84856572,-0.064795948,-0.093527602,-0.079207949,-0.003644329
6949394536,-0.310451692,-0.725684537,-0.239638812,-0.18395034,-0.00966877,-0.573590174,0.142094172,-0.207449397,-0.025246353
6949392066,-0.282953959,0.191940776,-0.21054606,-0.085301429,0.790735656,-0.045270852,-0.138928337,-0.1970861,-0.007615552
6949389471,-0.280599431,0.156044005,-0.204605425,0.10053039,-0.057479437,0.149087515,0.658580298,-0.079227576,-0.020037317
6949385903,-0.186640131,0.191988185,-0.203367281,-0.002215434,0.466719916,-0.160238551,-0.050045308,-0.081371264,-0.023684316
6948985749,-0.308029505,0.156339085,-0.211952176,-0.068465818,-0.890420528,-0.260514367,0.061454909,-0.204602687,-0.020403322
6948796897,-0.307968554,-0.722373491,-0.090839319,-0.18179796,-0.077082365,-0.221971239,-0.046191257,-0.207449397,-0.025246353
6948796210,0.011080542,-0.143412863,-0.103553398,-0.068694754,1.070162818,0.219163746,0.01181679,-0.079884614,-0.021155118
6948795512,0.050688782,0.247294946,0.116884402,0.219227079,1.425347423,0.473214306,-0.297602228,0.450327847,0.051452511
6948794673,-0.305778459,0.155973025,-0.205475479,0.106402163,-1.271703476,0.135809848,0.124035705,-0.199932809,-0.012458582
6948793617,-0.221983303,-0.723512694,-0.095070371,0.214116271,0.524308667,0.828370704,-0.58991242,0.077482358,-0.016908449
6948792859,-0.309266557,-0.018685914,-0.219625403,-0.150131681,-0.970107264,-0.511046161,0.456330361,0.074635649,-0.02175148
6948790989,-0.30030656,0.245186983,0.043028289,0.21378787,-0.357412722,-0.163883228,-0.079397168,-0.197789121,-0.008811583
6948790357,-0.189024493,-0.711215823,-0.180454647,-0.181606882,0.360837909,-0.226043803,0.177593684,-0.207449397,-0.025246353
6948788893,0.129175658,-0.722766211,-0.087024479,0.184136061,0.556316897,-0.095076993,-0.278463736,0.204166438,-0.011718465
6948788159,-0.139116027,-0.725501759,-0.228559713,-0.08250854,-0.917482923,-0.719530846,0.191603777,-0.207449397,-0.025246353
6948756355,-0.282003219,0.157420349,-0.164866383,-0.067469301,0.000510076,-0.733887607,0.141407703,-0.023324047,0.077666931
6948754791,-0.152980873,0.247699281,0.108182138,-0.079199483,-0.361615049,-0.034982198,0.000930832,-0.080765317,-0.020056369
6948752656,-0.218202835,0.226127039,0.178113099,0.106682389,0.116693506,-0.169920473,0.006197409,0.202174075,-0.001345488
6948751048,-0.276514543,0.240311057,-0.205996847,-0.003442269,-0.442378664,0.216556274,-0.316269707,0.076779337,-0.01810448
6948748993,-0.162719532,-0.392593348,-0.085309274,-0.145870662,-0.488997821,0.309933791,0.362136574,-0.082909005,-0.023703368
6948747287,-0.223731159,0.246056596,0.029973439,-0.145858079,-0.113262974,-0.127241942,-0.246520924,0.130500943,-0.016251579
6948745823,-0.073333058,-0.707211749,0.016650983,0.003571667,0.804869159,0.135080563,-0.017533189,-0.179367814,0.022528095
6948744309,-0.247760685,0.206693517,-0.103902869,0.14773878,0.413556453,0.012233856,-0.051365479,0.20202275,-0.015365464
6948742656,0.132617517,0.246574104,0.031962898,-0.141376532,0.56991929,-0.177837543,0.142961317,-0.205305709,-0.021599353
6948731395,-0.219761909,0.004101147,-0.2163916,-0.183481022,0.175069858,0.073030688,-0.436142713,-0.205962747,-0.022717154
6948722483,-0.278400934,0.240617819,-0.21142436,-0.14998274,0.250518069,0.017272467,0.113612434,-0.071007967,-0.006053515
6948718920,-0.305199183,0.206902453,-0.107872215,0.019755784,-0.532830322,-0.077713634,0.010256092,-0.017951148,0.086807701
6948716744,-0.30644177,0.243951961,-0.059762138,-0.148170997,-0.871865167,0.035038643,0.322887518,-0.079884614,-0.021155118
6948714093,-0.301524964,0.223206999,0.051732934,0.103839408,-0.656898076,0.174178268,-0.069401181,0.137067316,0.08446185
6948712233,-0.276619165,-0.711801292,-0.177664531,-0.001738983,0.938638054,0.242124105,0.233079536,-0.048595775,-0.018470485
6948710186,-0.309993867,-0.712757295,-0.238016305,-0.149455978,-1.419964399,-0.360994569,0.10574176,-0.051442484,-0.023313516
6948708312,-0.228748072,-0.720061564,0.023784491,-0.062910548,0.476541948,-0.068680154,-0.391063465,-0.075392417,-0.010915598
6948706493,-0.278076245,-0.711833559,-0.192122556,-0.101106031,-0.329358688,-0.568806216,0.009677881,-0.205305709,-0.021599353
6948691653,-0.079373956,0.24476657,-0.028144022,-0.080223163,-0.303578672,-0.476666298,-0.000539473,0.073097908,-0.021770531
6948681806,-0.300654211,0.164927312,0.182489152,0.001909144,-0.097052758,0.151662115,0.295093993,0.420102577,3.11e-05
6948655563,-0.157069721,0.160238028,-0.060931705,-0.180689599,0.120365648,-0.225059186,-0.056987761,-0.207449397,-0.025246353
6948647714,-0.275952932,0.217707541,-0.204909527,0.04203953,0.285303771,-0.109261091,0.284313624,0.055676113,-0.000863532
6948511119,-0.18911276,0.206194456,-0.149577282,-0.001497247,0.19406993,-0.529623681,0.13520121,0.285875552,-0.001631932
6948510157,-0.2699796,0.251846928,0.29321551,-0.142683142,-0.207868345,0.515263664,-0.003625305,-0.082909005,-0.023703368
6948509307,-0.258784501,0.218227816,-0.212424334,-0.184204391,0.723806544,-0.384353481,-0.337083789,-0.207449397,-0.025246353
6948508205,-0.277316547,0.246343289,0.065411824,0.000417025,-1.269866753,0.264818835,-0.223480691,0.041497284,-0.011223064
6948507689,-0.309527174,0.156582633,-0.216261262,-0.184809259,-0.530807793,-0.169371212,0.044625986,-0.207449397,-0.025246353
6948506700,-0.301706075,-0.708651994,-0.00623459,0.214368744,0.900901978,-0.450868884,0.007078954,-0.204602687,-0.020403322
6948504619,-0.274735327,-0.719292686,0.097919023,0.216208383,1.154833443,-0.468096833,-0.000114453,0.053532425,-0.004510531
6948503888,-0.301581163,0.247611057,0.123892284,0.00094752,0.065651005,-0.008190853,-0.167437152,-0.204602687,-0.020403322
6948502762,-0.309082971,0.156510398,-0.214983203,-0.150302241,-0.365994209,0.539332463,0.301718876,-0.091057897,-0.023804328
6948501935,-0.216005567,0.20655941,-0.131553003,-0.001576357,-0.722056743,-0.562549275,0.111335677,-0.199932809,-0.012458582
6948500862,-0.19100339,0.244555429,-0.039512172,-0.146439706,-0.612266001,-0.023016183,0.155037905,0.077482358,-0.016908449
6948500040,-0.251576475,-0.39489341,-0.169748527,-0.044295672,-0.072360916,-0.595663148,0.145503495,0.077482358,-0.016908449
6948499253,-0.220226459,-0.678766139,0.273773658,-0.141068598,0.181598723,-0.275240576,-0.355642216,-0.079227576,-0.020037317
6948498376,-0.306469626,-0.142364195,-0.04739122,-0.147467209,-1.451812085,0.214971935,0.42162341,-0.078575645,-0.016331139
6948497545,-0.224134235,0.229715717,-0.101321203,-0.001277651,-0.561994456,-0.355227037,0.294722222,0.072528815,0.02780752
6948497011,-0.16467357,-0.725349824,-0.233291455,-0.182038103,0.124472903,-0.179840434,-0.144804031,-0.207449397,-0.025246353
6948495759,-0.241476975,0.236303116,0.224309474,0.217125203,-0.649747453,-0.085574229,-0.024583885,-0.012783069,0.093002951
6948494256,-0.190291421,0.232544053,0.445775794,-0.035592418,1.053641879,-0.080330436,0.067992324,-0.198446159,-0.009929384
6948493327,-0.272163055,0.229008425,-0.102009779,0.212089583,0.766780048,-0.201198232,-0.137811988,0.192192734,0.03555972
6948492232,-0.308280229,-0.724699703,-0.182372107,-0.083964066,-0.689543137,-0.156876066,0.376314651,-0.205305709,-0.021599353
6948461651,-0.281701832,0.229090598,-0.136803277,-0.08428295,0.349490156,-0.245544351,0.327752104,-0.197789121,-0.008811583
6948085949,-0.282317908,0.240374957,-0.207576445,-0.039888789,-0.941470298,0.290427736,0.481419737,-0.071710988,-0.007249547
6948084829,-0.278081743,0.248145064,0.127170745,-0.145151596,0.314288902,0.521164281,0.868555045,-0.07040202,-0.002425568
6948083536,-0.109460891,0.219803489,-0.126570062,-0.000191597,0.86546898,0.219790503,-0.680285907,0.111757323,0.094545935
6948082295,-0.154756844,0.220732724,-0.07832342,0.028238174,0.313138877,-0.083027409,0.014484441,-0.171851227,0.035315865
6948080508,-0.129132554,0.227195439,-0.192112854,0.212592446,0.310882903,-0.002553606,0.093371101,0.266277586,0.093949574
6948077266,-0.278477026,0.246371909,0.055968135,-0.081512156,0.310770164,0.044635948,0.005866396,-0.139644831,0.090107748
6948076027,-0.147561272,0.207283499,-0.07480962,0.214065182,-0.709011262,-0.391628386,0.221657592,-0.038935499,-0.002035715
6948074916,-0.310007489,-0.725756773,-0.238360754,-0.149443322,0.031926054,0.329515638,0.801557269,0.033482495,-0.022261344
6948071691,0.255891157,-0.684402104,0.039391843,0.221956631,1.847180113,0.449957619,-1.202096817,0.205653089,-0.009189267
6948070295,-0.307122141,0.227241334,-0.207673395,-0.003830928,-0.692022227,-0.211242111,0.148404468,-0.020514192,0.029303962
6948068890,-0.227445329,-0.723694194,-0.102908839,0.213936266,0.908874177,0.057058802,-0.43996118,0.755232062,0.123659611
6948067454,-0.279281098,0.180159328,-0.130977926,0.107764652,-0.216093457,-0.236842204,0.259207568,0.055676113,-0.000863532
6948065388,-0.297274073,0.241948886,0.442558948,-0.07621792,-1.45710088,0.37223753,0.788348645,-0.081371264,-0.023684316
6948063980,-0.127440433,0.208976924,-0.013553244,0.111300713,-0.172727119,-0.118872922,-0.04087897,0.082758184,-0.005335762
6948061858,-0.249693481,-0.685467841,-0.017403336,-0.080928506,0.37891324,-0.03186071,-0.240199121,0.046015838,-0.017298301
6948059293,-0.306341114,0.24126408,-0.161342956,-0.003178398,-0.982675928,0.197358626,0.503110753,-0.088914209,-0.020157329
6948057874,-0.308165049,0.180211269,-0.160794635,-0.149548945,-0.635651238,0.715473232,-0.21901054,-0.205305709,-0.021599353
6948056254,-0.183707882,-0.723986977,-0.157752851,-0.082056339,0.858117579,-0.128004623,-0.216712472,-0.205962747,-0.022717154
6948054705,-0.186199904,-0.725399249,-0.234228738,-0.182320474,0.544516105,-0.032989585,-0.079660773,-0.207449397,-0.025246353
6948052325,-0.265603712,0.250736049,0.290580372,0.217750748,-0.150552551,0.07453002,-0.228801665,-0.046452087,-0.014823486
6948020508,-0.29943162,0.25329938,0.360313935,-0.142094612,-0.876331045,0.340526185,0.218920259,0.164551026,-0.012209277
6948018409,-0.309059385,0.17901875,-0.214386797,-0.150324154,-1.239494816,0.301289882,0.06423126,-0.088211187,-0.018961297
6948016142,-0.303775906,-0.724393245,-0.129795234,0.212599081,0.205411382,-0.369852819,0.00270784,0.597565684,0.105372586
6948013471,-0.307406716,-0.725110967,-0.190124561,-0.002283625,-0.275836122,-0.569757793,-0.072809478,-0.207449397,-0.025246353
6948011547,-0.214158133,0.253877735,0.415115466,0.116279863,-0.216104662,-0.219861132,-0.083123424,-0.078524554,-0.018841286
6948008993,0.322151867,0.058909158,0.087119807,0.222451908,1.67666185,0.32967345,0.129325569,-0.081371264,-0.023684316
6947769197,-0.277377516,0.242138347,-0.095484966,0.212099704,-0.036517771,-0.096146967,0.104907206,-0.077037904,-0.016312087
6947767101,-0.146488209,0.223271668,0.049117661,0.134047568,0.631194934,0.155530484,-0.40533794,0.053532425,-0.004510531
6947766117,-0.251616164,0.170525936,-0.163824378,-0.084213016,-0.483598949,-0.006853073,0.389793218,-0.082909005,-0.023703368
6947764954,-0.267319447,0.255394009,0.452622492,-0.140377326,-0.191297197,0.302388478,-0.088565791,0.045312816,-0.018494333
6947763940,-0.244220208,0.252572313,0.324307976,-0.141917967,1.160411314,0.148928904,-0.351863188,-0.051145993,0.02773713
6947763117,-0.309630296,-0.724589277,-0.190417471,-0.183238355,1.736171424,0.022030873,-0.151675752,-0.204602687,-0.020403322
6947762340,-0.281452194,0.041490638,-0.115013118,-0.083712409,0.11014033,-0.241392118,0.624960659,-0.1970861,-0.007615552
6947730214,-0.307012609,0.243190797,-0.093969125,-0.1486658,0.377185506,0.093781765,0.054954168,-0.175243001,0.02954553
6947728905,-0.304191514,0.231149068,-0.032058549,-0.001290666,0.174854086,-0.118037898,0.16654025,-0.079278667,-0.01752717
6947727383,-0.27772159,0.157603911,-0.167665114,-0.149235741,-0.411600001,-0.410461124,0.178423842,-0.043925896,-0.010525746
6947725489,-0.281043365,0.157454151,-0.154863727,-0.00265523,-0.712392647,-0.391480333,0.287959537,-0.199932809,-0.012458582
6947722323,-0.30899491,0.240547573,-0.212756459,-0.150384055,-0.841837998,-0.209837535,0.116136345,-0.140347852,0.088911716
6947720880,-0.274612884,-0.719285309,0.050644186,-0.14488083,-0.844767979,-0.423693624,0.015147531,0.073097908,-0.021770531
6947718708,-0.245046352,0.250224642,0.227286492,-0.078651996,0.567490485,0.076064225,-0.147333587,0.557634154,0.037438139
6947716268,-0.308460086,0.169410799,-0.212885785,-0.102985491,-1.629224816,-1.370928669,0.006347816,-0.205305709,-0.021599353
6947714118,0.020796518,-0.650576843,0.405205195,0.22419841,1.845493873,0.655375723,-1.201968384,0.110270673,0.092016737
6947711441,-0.308137782,0.206232261,-0.160105153,-0.149574278,-0.993617878,-0.066635587,0.432726584,-0.207449397,-0.025246353
6947708338,-0.212528147,0.198192925,0.07730051,0.00146237,0.420966045,0.152031026,0.340216635,0.043169128,-0.022141332
6947706873,-0.267472056,0.252368421,0.335865007,0.004395744,-0.69554341,0.138453722,0.085700473,-0.013566698,0.091669784
6947704679,-0.305109418,0.194444903,-0.08577336,-0.002019441,-0.844637704,0.13964456,0.620449748,-0.0806946,-0.006173527
6947701473,-0.221745456,-0.716249804,0.184038132,-0.142318441,0.160705978,-0.261999126,-0.159795936,-0.081371264,-0.023684316
6947697525,0.161937106,-0.725438825,-0.204655677,0.217351717,0.681998177,-0.437551179,0.104392774,-0.204602687,-0.020403322
6947696123,-0.279314726,0.163245777,0.081676052,-0.180184183,-0.021933552,-0.202141074,-0.339275932,0.076728246,-0.015594334
6947392965,-0.277700173,0.228570907,-0.168960129,-0.149350858,0.118049348,-0.496640143,-0.102520327,0.053532425,-0.004510531
6947391733,-0.305930833,0.206352937,-0.135468458,-0.002755946,-0.86903376,-0.136839456,0.192983674,0.080045403,0.04059529
6947391108,-0.227423119,0.219321329,-0.165106245,-0.18313789,0.725018843,0.001103493,-0.178746543,-0.207449397,-0.025246353
6947389851,-0.273001231,0.179429255,-0.150475168,0.211454379,0.058719086,0.146899084,-0.12277444,0.081112697,-0.010732251
6947387994,-0.275028467,0.228885221,-0.132720517,0.019747861,-1.079582068,-0.085464547,0.242828361,0.376600915,-0.007071321
6947387071,-0.299371546,0.246433742,0.099058051,0.214598338,-0.738700665,-0.351439969,0.403945518,0.085604893,-0.000492731
6947385647,-0.298807585,0.251309379,0.290096083,0.003351652,0.210014558,0.411796509,-0.278637211,0.172067614,0.000578493
6947384017,-0.270799739,-0.692969992,0.230810424,-0.077635889,-0.124890316,0.146323826,-0.417178987,0.201319729,-0.016561496
6947382976,-0.307458833,-0.723604443,-0.133150766,-0.083252081,-0.781689162,-0.721609344,0.215594297,-0.14249154,0.085264717
6947381248,-0.281953894,-0.725339902,-0.198205412,0.026227243,-0.490214049,0.161915198,0.136998041,-0.202458999,-0.016756322
6947380629,-0.309557356,-0.724492019,-0.186046651,-0.183175131,0.120365648,-0.225059186,-0.056987761,-0.207449397,-0.025246353
6947379840,-0.31036363,-0.641647362,-0.237412068,-0.184032153,1.667145522,0.299515212,-0.790249413,-0.207449397,-0.025246353
6947378928,-0.185593283,-0.710732787,-0.120497112,0.110301586,0.12431729,-0.349022004,-0.114616576,-0.207449397,-0.025246353
6947364981,-0.188869494,-0.205906693,-0.146637095,-0.147328537,-0.326329026,-0.218192035,-0.115121515,-0.197789121,-0.008811583
6947364123,-0.304732395,0.243409165,-0.064942114,-0.001783963,-0.24150126,-0.1285816,-0.037127131,-0.199932809,-0.012458582
6947363268,-0.223093576,0.2269797,-0.196204031,0.211359917,-0.742708596,0.041643786,0.496747982,0.076779337,-0.01810448
6947362650,-0.309476321,0.205111978,-0.214975373,-0.184856504,0.118758971,-0.224988838,-0.025484153,-0.207449397,-0.025246353
6947361706,-0.119300594,-0.375871031,0.12751361,0.218105062,0.90678875,0.176050166,-0.15957567,0.113080528,0.043653769
6947359283,-0.279485043,0.244697869,-0.017017456,-0.065444694,-0.167946881,0.123275168,0.327842936,0.256552719,0.001625215
6947000153,-0.130005181,0.188431122,0.208317037,-0.066455526,0.443862827,-0.050248088,-0.172856676,0.074635649,-0.02175148
6946999089,-0.293414863,0.21891824,0.457295065,0.219828402,-0.073219499,0.059828925,0.081486535,0.532607827,-0.005138484
6946997925,-0.267685928,0.247959596,0.165805676,0.215945886,0.13599507,0.219084067,-0.077117394,0.076779337,-0.01810448
6946997286,-0.042803435,0.22823257,-0.202768732,-0.181380659,0.182910409,-0.18062822,-0.060370892,-0.207449397,-0.025246353
6946996370,-0.009798057,-0.719578365,0.055518164,0.115025531,-1.019748418,0.432237103,0.722158422,-0.048299284,0.032580161
6946995349,-0.281849639,0.240298808,-0.206229144,-0.003512251,0.977703475,0.227893559,-0.122504921,0.00525753,-0.018990595
6946993526,-0.060144373,0.24610558,0.05628214,0.113088848,0.46523851,0.041830961,0.088782511,0.055676113,-0.000863532
6946896808,-0.306115094,0.182944704,-0.03795316,-0.147772048,-1.648057913,0.237483136,0.934583291,-0.207449397,-0.025246353
6946894306,-0.192203222,-0.633506322,0.173907513,0.218208427,0.333072576,-0.259751109,-0.139993564,-0.086724537,-0.016432099
6946892816,-0.282071002,0.243490278,-0.08654121,-0.182731462,-1.197531662,0.313230465,0.570126614,-0.150008128,0.072476947
6946891262,-0.308263875,-0.339154898,-0.224260683,-0.045859077,0.17249713,-0.373682314,0.025948028,-0.179367814,0.022528095
6946889776,0.167840306,0.245796797,0.003430579,-0.076683658,0.992050475,-0.246187222,-0.068974592,-0.078524554,-0.018841286
6946884857,-0.131843666,-0.721446695,-0.055116041,-0.144604448,0.912039221,0.454133222,-0.540732423,0.083757696,0.046910916
6946883630,-0.200439009,-0.205475814,-0.118023276,-0.082405713,0.871485956,0.105608133,-0.097781466,-0.197789121,-0.008811583
6946882172,-0.068428986,-0.515043422,-0.212904848,0.110178604,0.465330572,0.07560391,-0.208938469,0.14318561,0.002731441
6946879942,-0.18339944,0.169564552,-0.205148469,-0.038521097,0.96459723,-0.596028975,-0.418616131,0.076779337,-0.01810448
6946742831,-0.258330334,0.227664455,-0.210894318,-0.149706631,0.056668876,-0.115729895,0.492345339,-0.199932809,-0.012458582
6946742021,-0.162857337,0.245427557,0.017378939,0.001162611,1.728463905,0.056906039,-0.295004991,0.199176041,-0.020208495
6946740972,-0.307132105,0.21773246,-0.207925353,-0.003821671,0.757052412,0.296838187,-0.349065589,0.044655778,-0.019612134
6946739593,-0.279391444,-0.72550121,-0.181094083,0.212172468,-0.310088001,-0.30808053,0.094798916,-0.013700626,0.040895701
6946738484,-0.306768259,0.158350784,-0.123792048,-0.084313782,-0.408164242,-0.567379791,0.14873594,-0.207449397,-0.025246353
6946737162,-0.249532083,0.161569641,0.009049535,-0.146364146,0.118773487,0.059802676,-0.056669672,-0.082909005,-0.023703368
6946736097,0.17377246,0.199545605,0.143330167,0.221208454,1.791993729,-0.079917988,-0.034631596,-0.077037904,-0.016312087
6946735108,-0.275062802,0.161305062,0.046272168,0.214264239,-1.163312079,-0.042428992,0.118913636,-0.076380866,-0.015194286
6946734321,-0.305163859,0.210862267,0.043444513,-0.181118469,-0.599237514,-0.068785929,0.04530937,-0.207449397,-0.025246353
6946589637,-0.268103865,0.247402314,0.14076123,0.215583619,0.580279379,0.385652352,-0.514366198,0.257433422,0.000526466
6946589608,-0.303273937,0.248175989,0.130067042,-0.145425125,0.096959278,-0.314517984,0.022852954,-0.150008128,0.072476947
6946588901,-0.156644728,0.24269981,-0.07744089,0.21386571,-1.466036859,-0.586657878,0.552006126,-0.207449397,-0.025246353
6946588875,-0.309018496,0.218039221,-0.213352866,-0.150362142,-0.990174687,-0.224766889,0.280159254,0.036329205,-0.017418313
6946588448,-0.309557356,-0.724492019,-0.186046651,-0.183175131,-1.191447956,0.31313532,0.569793955,-0.207449397,-0.025246353
6946588193,-0.274606166,-0.031209896,-0.166145428,0.112355682,-0.326431981,-0.196693503,0.153557311,0.074635649,-0.02175148
6946587636,-0.280764738,0.181548657,-0.091468632,-0.066438144,0.005351099,-0.209994151,-0.050687978,-0.082909005,-0.023703368
6946587356,-0.299690338,0.251708323,0.297294893,-0.078336797,-0.801602987,-0.065534331,0.116638002,-0.207449397,-0.025246353
6946586671,-0.069314042,0.159344758,-0.101804575,-0.145692398,1.047046513,0.427221529,-0.43847245,0.412585989,-0.012756706
6946586125,-0.279301213,-0.689922679,-0.176975917,0.21218386,0.166996889,0.007615317,-0.230300635,0.417255867,-0.004811967
6946585546,-0.307601183,0.158486233,-0.126188533,-0.14901783,-1.334714244,0.522469927,0.938388478,-0.0117195,0.044266137
6946584969,-0.283736029,0.240605569,-0.211656657,-0.150052723,-1.276542153,0.154108127,0.655570455,0.036506886,-0.019713094
6946584818,-1.51e-05,0.168402254,0.349107088,0.222018771,0.778207912,-0.110352568,-0.229077462,-0.079227576,-0.020037317
6946583955,-0.308199194,0.204904294,-0.21130083,-0.085645438,-0.806792223,-0.721170602,0.24902652,-0.207449397,-0.025246353
6946583813,-0.30853091,-0.474412204,-0.158942423,-0.148633369,-1.147777214,-0.196179341,-0.125092547,-0.204602687,-0.020403322
6946513673,-0.279660707,0.231056247,-0.043319277,-0.043694959,0.02192977,-0.393714169,-0.127721668,-0.203116037,-0.017874123
6946511637,-0.282199953,-0.723546448,-0.132050964,-0.082920749,0.500255525,0.112530665,0.086855866,-0.174377417,0.031018125
