concern,att_wld_unfav,att_nm_unfav,comp,norm_control,aware,past,appreciate,social,Cluster,id,income,areaf,unemploy,costlive,hrwage,taxcost,cashrent,crp2018,landvalu,impstrea,implakes,impwetl,imptotal,childcar,foodcost,healthc,housecos,othercos,dfl08to18,dflmean
0.9373133654699279,-0.00973853582035652,0.271227142734418,-0.00142522904428844,0.138149063182396,-0.273775695192487,0.249223103578742,0.27746723577145693,0.0034934955420463302,2,6967500969,6.0,3.0,3.9,44714.0,14.33,428.0,195.0,202.0,7136.0,28.1,81.0,0.0,3.0,204.0,769.0,417.0,698.0,429.0,0.47950727600000004,0.454818836
-1.22314188868677,1.12803515935878,-0.53791398227307,-0.033936138720067,0.30075946770130796,-0.24986738234603603,0.21534165373896,-0.15463761850238,0.0430831356307151,1,6966018516,3.0,1.0,4.7,45944.0,14.73,459.0,217.0,219.0,6966.0,243.6,0.0,0.0,31.0,224.0,770.0,417.0,698.0,429.0,0.537740966,0.5079635570000001
0.9285810486092009,0.9172490998947801,0.435496180784598,0.0266540920145788,-0.171931358235584,-0.30905089055360196,-0.7261198981010291,-0.23568300610376502,-0.0737885321801327,0,6954002510,1.0,1.0,3.1,64137.0,20.56,860.0,76.0,131.0,18090.0,31.3,1071.0,0.0,22.0,707.0,784.0,486.0,1113.0,555.0,0.666003954,0.627656542
0.478270180828983,-0.0182021895360901,0.253195727996547,0.36474444941207396,0.144779085947826,-0.252316158066022,0.224228442068417,-0.208299079861816,-0.0849306227433746,1,6954000142,6.0,1.0,4.5,44271.0,14.19,417.0,215.0,213.0,6510.0,207.9,700.0,0.0,24.0,189.0,749.0,417.0,698.0,423.0,0.5474074489999999,0.516861187
-1.4682354681320602,0.0659357177008874,-0.157493056258573,-0.366927175928301,-0.0875105200038457,-0.30701274575911797,0.171987816595607,-0.0917611143086041,-0.148541562102155,1,6952091365,4.0,2.0,3.6,44597.0,14.29,425.0,183.0,183.0,5444.0,303.4,977.0,7.81,22.0,190.0,775.0,417.0,698.0,430.0,0.5482342889999999,0.523649458
0.09765453638248,0.40129288519314,0.304018770616216,0.022976488948752996,-0.10463409986131599,-0.212027729436905,0.20357487503848498,-0.0508557641049528,0.21360289934525198,1,6950969532,3.0,2.0,3.8,43375.0,13.9,394.0,207.0,197.0,6875.0,229.6,2004.0,0.0,20.0,233.0,756.0,417.0,698.0,425.0,0.473061071,0.44646149700000004
0.6222279881798181,-0.5975549997336229,-0.6426404633352281,0.236643028059739,0.11689288695990499,-0.28239098892812503,0.239966485042863,-0.131468530799827,-0.148894719710886,2,6950966877,4.0,2.0,4.5,44271.0,14.19,417.0,215.0,213.0,6510.0,207.9,700.0,0.0,24.0,189.0,749.0,417.0,698.0,423.0,0.5474074489999999,0.516861187
0.957022931139294,-1.00593432638444,0.25813328738654995,0.246522943154644,-0.25860249104697003,-0.220876780065751,-0.30818942503161495,0.221982496762255,-0.14232077700834198,0,6950963846,2.0,1.0,3.0,47201.0,15.13,478.0,215.0,232.0,7565.0,344.4,5253.0,0.0,42.0,237.0,746.0,417.0,874.0,474.0,0.597152583,0.573103888
-1.61200893501427,1.2800426898106698,0.34369233140393896,-0.888017218949687,0.177587634023632,-0.301737776877232,0.24699288098838798,0.17440061488471198,-0.0801105157199067,1,6949522020,,4.0,6.1,44199.0,14.17,415.0,184.0,202.0,7059.0,165.2,1242.0,0.0,19.0,208.0,760.0,417.0,698.0,426.0,0.48762491799999996,0.461972609
-1.32307671022688,-0.6070614372518439,0.296351697225799,-0.294020141265021,-0.36676559569573797,-0.273843600694188,0.237065830219471,0.334069426974997,-0.0774663289207049,1,6949520595,5.0,3.0,3.0,47201.0,15.13,478.0,215.0,232.0,7565.0,344.4,5253.0,0.0,42.0,237.0,746.0,417.0,874.0,474.0,0.597152583,0.573103888
