id,PROBY            
6967500969.0000000,.5307019             
6967500969.0000000,.4692981             
6967500969.0000000,.2828040             
6967500969.0000000,.7171960             
6967500969.0000000,.6260900             
6967500969.0000000,.3739100             
6967500969.0000000,.2347250             
6967500969.0000000,.7652750             
6967500969.0000000,.4772427             
6967500969.0000000,.5227573             
6967500969.0000000,.6831407             
6967500969.0000000,.3168593             
6967500969.0000000,.4430487             
6967500969.0000000,.5569513             
6967500969.0000000,.3297776             
6967500969.0000000,.6702224             
6966018516.0000000,.6571708             
6966018516.0000000,.3428292             
6966018516.0000000,.5656670             
6966018516.0000000,.4343330             
6966018516.0000000,.7490322             
6966018516.0000000,.2509678             
6966018516.0000000,.5121818             
6966018516.0000000,.4878182             
6966018516.0000000,.6150582             
6966018516.0000000,.3849418             
6966018516.0000000,.8386460             
6966018516.0000000,.1613540             
6966018516.0000000,.6942882             
6966018516.0000000,.3057118             
6966018516.0000000,.5203164             
6966018516.0000000,.4796836             
6954002510.0000000,.7548938             
6954002510.0000000,.2451062             
6954002510.0000000,.7746699             
6954002510.0000000,.2253301             
6954002510.0000000,.8250527             
6954002510.0000000,.1749473             
6954002510.0000000,.7156726             
6954002510.0000000,.2843274             
6954002510.0000000,.7236359             
6954002510.0000000,.2763641             
6954002510.0000000,.9159916             
6954002510.0000000,.0840084             
6954002510.0000000,.8499778             
6954002510.0000000,.1500222             
6954002510.0000000,.6564450             
6954002510.0000000,.3435550             
6954000142.0000000,.6908545             
6954000142.0000000,.3091455             
6954000142.0000000,.6405271             
6954000142.0000000,.3594729             
6954000142.0000000,.7736954             
6954000142.0000000,.2263046             
6954000142.0000000,.5761725             
6954000142.0000000,.4238275             
6954000142.0000000,.6506576             
6954000142.0000000,.3493424             
6954000142.0000000,.8648489             
6954000142.0000000,.1351511             
6954000142.0000000,.7525057             
6954000142.0000000,.2474943             
6954000142.0000000,.5626108             
6954000142.0000000,.4373892             
6952091365.0000000,.6315467             
6952091365.0000000,.3684533             
6952091365.0000000,.5067919             
6952091365.0000000,.4932081             
6952091365.0000000,.7175407             
6952091365.0000000,.2824593             
6952091365.0000000,.4338481             
6952091365.0000000,.5661519             
6952091365.0000000,.5856289             
6952091365.0000000,.4143711             
6952091365.0000000,.8028615             
6952091365.0000000,.1971385             
6952091365.0000000,.6472793             
6952091365.0000000,.3527207             
6952091365.0000000,.4677716             
6952091365.0000000,.5322284             
6950969532.0000000,.5874481             
6950969532.0000000,.4125519             
6950969532.0000000,.4015013             
6950969532.0000000,.5984987             
6950969532.0000000,.6654652             
6950969532.0000000,.3345348             
6950969532.0000000,.3144594             
6950969532.0000000,.6855406             
6950969532.0000000,.5391981             
6950969532.0000000,.4608019             
6950969532.0000000,.7373128             
6950969532.0000000,.2626872             
6950969532.0000000,.5592688             
6950969532.0000000,.4407312             
6950969532.0000000,.3884929             
6950969532.0000000,.6115071             
6950966877.0000000,.6322168             
6950966877.0000000,.3677832             
6950966877.0000000,.5042110             
6950966877.0000000,.4957890             
6950966877.0000000,.7196374             
6950966877.0000000,.2803626             
6950966877.0000000,.4349865             
6950966877.0000000,.5650135             
6950966877.0000000,.5875430             
6950966877.0000000,.4124570             
6950966877.0000000,.8029557             
6950966877.0000000,.1970443             
6950966877.0000000,.6448508             
6950966877.0000000,.3551492             
6950966877.0000000,.4706795             
6950966877.0000000,.5293205             
6950963846.0000000,.6984688             
6950963846.0000000,.3015312             
6950963846.0000000,.6610147             
6950963846.0000000,.3389853             
6950963846.0000000,.7461973             
6950963846.0000000,.2538027             
6950963846.0000000,.5070575             
6950963846.0000000,.4929425             
6950963846.0000000,.6605873             
6950963846.0000000,.3394127             
6950963846.0000000,.8359568             
6950963846.0000000,.1640432             
6950963846.0000000,.7688597             
6950963846.0000000,.2311403             
6950963846.0000000,.5163913             
6950963846.0000000,.4836087             
6949520595.0000000,.6143635             
6949520595.0000000,.3856365             
6949520595.0000000,.4656428             
6949520595.0000000,.5343572             
6949520595.0000000,.6663113             
6949520595.0000000,.3336887             
6949520595.0000000,.3152415             
6949520595.0000000,.6847585             
6949520595.0000000,.5691165             
6949520595.0000000,.4308835             
6949520595.0000000,.7378315             
6949520595.0000000,.2621685             
6949520595.0000000,.6155227             
6949520595.0000000,.3844773             
6949520595.0000000,.3883766             
6949520595.0000000,.6116234             
6949519165.0000000,.5571436             
6949519165.0000000,.4428564             
6949519165.0000000,.3385743             
6949519165.0000000,.6614257             
6949519165.0000000,.6531820             
6949519165.0000000,.3468180             
6949519165.0000000,.2871444             
6949519165.0000000,.7128556             
6949519165.0000000,.5063347             
6949519165.0000000,.4936653             
6949519165.0000000,.7200740             
6949519165.0000000,.2799260             
6949519165.0000000,.4977686             
6949519165.0000000,.5022314             
6949519165.0000000,.3697098             
6949519165.0000000,.6302902             
6949515466.0000000,.6470333             
6949515466.0000000,.3529667             
6949515466.0000000,.5377260             
6949515466.0000000,.4622740             
6949515466.0000000,.6584922             
6949515466.0000000,.3415078             
6949515466.0000000,.2983962             
6949515466.0000000,.7016038             
6949515466.0000000,.6018645             
6949515466.0000000,.3981355             
6949515466.0000000,.7276880             
6949515466.0000000,.2723120             
6949515466.0000000,.6711199             
6949515466.0000000,.3288801             
6949515466.0000000,.3760353             
6949515466.0000000,.6239647             
6949513982.0000000,.7558001             
6949513982.0000000,.2441999             
6949513982.0000000,.7749170             
6949513982.0000000,.2250830             
6949513982.0000000,.8247585             
6949513982.0000000,.1752415             
6949513982.0000000,.7163530             
6949513982.0000000,.2836470             
6949513982.0000000,.7231257             
6949513982.0000000,.2768743             
6949513982.0000000,.9158535             
6949513982.0000000,.0841465             
6949513982.0000000,.8497766             
6949513982.0000000,.1502234             
6949513982.0000000,.6566861             
6949513982.0000000,.3433139             
6949512250.0000000,.5812769             
6949512250.0000000,.4187231             
6949512250.0000000,.3894639             
6949512250.0000000,.6105361             
6949512250.0000000,.6630027             
6949512250.0000000,.3369973             
6949512250.0000000,.3061322             
6949512250.0000000,.6938678             
6949512250.0000000,.5315158             
6949512250.0000000,.4684842             
6949512250.0000000,.7328196             
6949512250.0000000,.2671804             
6949512250.0000000,.5471544             
6949512250.0000000,.4528456             
6949512250.0000000,.3822964             
6949512250.0000000,.6177036             
6949508507.0000000,.5662810             
6949508507.0000000,.4337190             
6949508507.0000000,.3561730             
6949508507.0000000,.6438270             
6949508507.0000000,.5981879             
6949508507.0000000,.4018121             
6949508507.0000000,.1893180             
6949508507.0000000,.8106820             
6949508507.0000000,.5147893             
6949508507.0000000,.4852107             
6949508507.0000000,.6464289             
6949508507.0000000,.3535711             
6949508507.0000000,.5157090             
6949508507.0000000,.4842910             
6949508507.0000000,.2904922             
6949508507.0000000,.7095078             
6949506509.0000000,.6459156             
6949506509.0000000,.3540844             
6949506509.0000000,.5397497             
6949506509.0000000,.4602503             
6949506509.0000000,.6887967             
6949506509.0000000,.3112033             
6949506509.0000000,.3649881             
6949506509.0000000,.6350119             
6949506509.0000000,.6038144             
6949506509.0000000,.3961856             
6949506509.0000000,.7657348             
6949506509.0000000,.2342652             
6949506509.0000000,.6757473             
6949506509.0000000,.3242527             
6949506509.0000000,.4239745             
6949506509.0000000,.5760255             
6949504595.0000000,.5626183             
6949504595.0000000,.4373817             
6949504595.0000000,.3489844             
6949504595.0000000,.6510156             
6949504595.0000000,.6569045             
6949504595.0000000,.3430955             
6949504595.0000000,.2933913             
6949504595.0000000,.7066087             
6949504595.0000000,.5134750             
6949504595.0000000,.4865250             
6949504595.0000000,.7248822             
6949504595.0000000,.2751178             
6949504595.0000000,.5072197             
6949504595.0000000,.4927803             
6949504595.0000000,.3739690             
6949504595.0000000,.6260310             
6949502871.0000000,.6298470             
6949502871.0000000,.3701530             
6949502871.0000000,.5036720             
6949502871.0000000,.4963280             
6949502871.0000000,.7093466             
6949502871.0000000,.2906534             
6949502871.0000000,.4120066             
6949502871.0000000,.5879934             
6949502871.0000000,.5851231             
6949502871.0000000,.4148769             
6949502871.0000000,.7925072             
6949502871.0000000,.2074928             
6949502871.0000000,.6454603             
6949502871.0000000,.3545397             
6949502871.0000000,.4540364             
6949502871.0000000,.5459636             
6949501136.0000000,.5616342             
6949501136.0000000,.4383658             
6949501136.0000000,.3486723             
6949501136.0000000,.6513277             
6949501136.0000000,.6586743             
6949501136.0000000,.3413257             
6949501136.0000000,.2964870             
6949501136.0000000,.7035130             
6949501136.0000000,.5124136             
6949501136.0000000,.4875864             
6949501136.0000000,.7265206             
6949501136.0000000,.2734794             
6949501136.0000000,.5083220             
6949501136.0000000,.4916780             
6949501136.0000000,.3753495             
6949501136.0000000,.6246505             
6949498386.0000000,.5807444             
6949498386.0000000,.4192556             
6949498386.0000000,.3921494             
6949498386.0000000,.6078506             
6949498386.0000000,.6775323             
6949498386.0000000,.3224677             
6949498386.0000000,.3381731             
6949498386.0000000,.6618269             
6949498386.0000000,.5331508             
6949498386.0000000,.4668492             
6949498386.0000000,.7516369             
6949498386.0000000,.2483631             
6949498386.0000000,.5471092             
6949498386.0000000,.4528908             
6949498386.0000000,.4059976             
6949498386.0000000,.5940024             
6949496064.0000000,.6791116             
6949496064.0000000,.3208884             
6949496064.0000000,.6171143             
6949496064.0000000,.3828857             
6949496064.0000000,.7286275             
6949496064.0000000,.2713725             
6949496064.0000000,.4593025             
6949496064.0000000,.5406975             
6949496064.0000000,.6385110             
6949496064.0000000,.3614890             
6949496064.0000000,.8151631             
6949496064.0000000,.1848369             
6949496064.0000000,.7356459             
6949496064.0000000,.2643541             
6949496064.0000000,.4861735             
6949496064.0000000,.5138265             
6949493789.0000000,.5699889             
6949493789.0000000,.4300111             
6949493789.0000000,.3631343             
6949493789.0000000,.6368657             
6949493789.0000000,.5830801             
6949493789.0000000,.4169199             
6949493789.0000000,.1669851             
6949493789.0000000,.8330149             
6949493789.0000000,.5201024             
6949493789.0000000,.4798976             
6949493789.0000000,.6257828             
6949493789.0000000,.3742172             
6949493789.0000000,.5202904             
6949493789.0000000,.4797096             
6949493789.0000000,.2728420             
6949493789.0000000,.7271580             
6949491780.0000000,.5865646             
6949491780.0000000,.4134354             
6949491780.0000000,.4051993             
6949491780.0000000,.5948007             
6949491780.0000000,.6780197             
6949491780.0000000,.3219803             
6949491780.0000000,.3390156             
6949491780.0000000,.6609844             
6949491780.0000000,.5390801             
6949491780.0000000,.4609199             
6949491780.0000000,.7526264             
6949491780.0000000,.2473736             
6949491780.0000000,.5601803             
6949491780.0000000,.4398197             
6949491780.0000000,.4055431             
6949491780.0000000,.5944569             
6949489833.0000000,.5779455             
6949489833.0000000,.4220545             
6949489833.0000000,.3846550             
6949489833.0000000,.6153450             
6949489833.0000000,.6711650             
6949489833.0000000,.3288350             
6949489833.0000000,.3262563             
6949489833.0000000,.6737437             
6949489833.0000000,.5292649             
6949489833.0000000,.4707351             
6949489833.0000000,.7449145             
6949489833.0000000,.2550855             
6949489833.0000000,.5410303             
6949489833.0000000,.4589697             
6949489833.0000000,.3957173             
6949489833.0000000,.6042827             
6949488002.0000000,.5488216             
6949488002.0000000,.4511784             
6949488002.0000000,.3196053             
6949488002.0000000,.6803947             
6949488002.0000000,.6298923             
6949488002.0000000,.3701077             
6949488002.0000000,.2419449             
6949488002.0000000,.7580551             
6949488002.0000000,.4988259             
6949488002.0000000,.5011741             
6949488002.0000000,.6884818             
6949488002.0000000,.3115182             
6949488002.0000000,.4819972             
6949488002.0000000,.5180028             
6949488002.0000000,.3353491             
6949488002.0000000,.6646509             
6949485959.0000000,.6621951             
6949485959.0000000,.3378049             
6949485959.0000000,.5764844             
6949485959.0000000,.4235156             
6949485959.0000000,.7121611             
6949485959.0000000,.2878389             
6949485959.0000000,.4174318             
6949485959.0000000,.5825682             
6949485959.0000000,.6207395             
6949485959.0000000,.3792605             
6949485959.0000000,.7956836             
6949485959.0000000,.2043164             
6949485959.0000000,.7039832             
6949485959.0000000,.2960168             
6949485959.0000000,.4600344             
6949485959.0000000,.5399656             
6949474644.0000000,0                    
6949474644.0000000,0                    
6949474644.0000000,0                    
6949474644.0000000,0                    
6949474644.0000000,0                    
6949474644.0000000,0                    
6949474644.0000000,0                    
